Barrio,Uso,Fecha (aaaa/mm/dd),Consumo (litros),Nº Contratos
2-SAN ANTON,DOMESTICO,2022/08/31,"11,932,042","1,828"
2-SAN ANTON,NO DOMESTICO,2022/08/31,"3,583,495",182
2-SAN ANTON,DOMESTICO,2022/09/30,"11,912,682","1,824"
2-SAN ANTON,NO DOMESTICO,2022/09/30,"3,303,676",182
2-SAN ANTON,DOMESTICO,2022/10/31,"10,245,585","1,876"
2-SAN ANTON,NO DOMESTICO,2022/10/31,"2,984,905",187
2-SAN ANTON,DOMESTICO,2022/11/30,"8,947,502","1,868"
2-SAN ANTON,NO DOMESTICO,2022/11/30,"2,721,390",186
2-SAN ANTON,DOMESTICO,2022/12/31,"8,231,379","1,882"
2-SAN ANTON,NO DOMESTICO,2022/12/31,"2,503,225",188
2-SAN ANTON,DOMESTICO,2023/01/31,"9,574,362","1,869"
2-SAN ANTON,NO DOMESTICO,2023/01/31,"2,575,613",186
2-SAN ANTON,DOMESTICO,2023/02/28,"9,667,870","1,846"
2-SAN ANTON,NO DOMESTICO,2023/02/28,"2,959,619",184
2-SAN ANTON,DOMESTICO,2023/03/31,"10,538,239","1,880"
2-SAN ANTON,NO DOMESTICO,2023/03/31,"2,989,481",188
2-SAN ANTON,DOMESTICO,2023/04/30,"11,093,208","1,885"
2-SAN ANTON,NO DOMESTICO,2023/04/30,"3,129,452",188
2-SAN ANTON,DOMESTICO,2023/05/31,"12,305,404","1,919"
2-SAN ANTON,NO DOMESTICO,2023/05/31,"3,324,130",191
2-SAN ANTON,DOMESTICO,2023/06/30,"12,389,412","1,903"
2-SAN ANTON,NO DOMESTICO,2023/06/30,"3,944,631",190
2-SAN ANTON,DOMESTICO,2023/07/31,"13,334,900","1,918"
2-SAN ANTON,NO DOMESTICO,2023/07/31,"4,290,814",191
2-SAN ANTON,DOMESTICO,2023/08/31,"14,070,673","1,910"
2-SAN ANTON,NO DOMESTICO,2023/08/31,"4,861,741",191
2-SAN ANTON,DOMESTICO,2023/09/30,"11,683,579","1,903"
2-SAN ANTON,NO DOMESTICO,2023/09/30,"3,250,516",190
2-SAN ANTON,DOMESTICO,2023/10/31,"10,746,642","1,898"
2-SAN ANTON,NO DOMESTICO,2023/10/31,"3,298,022",189
2-SAN ANTON,DOMESTICO,2023/11/30,"10,220,931","1,923"
2-SAN ANTON,NO DOMESTICO,2023/11/30,"3,064,680",192
2-SAN ANTON,DOMESTICO,2023/12/31,"9,151,475","1,950"
2-SAN ANTON,NO DOMESTICO,2023/12/31,"3,342,888",195
2-SAN ANTON,DOMESTICO,2024/01/31,"9,154,298","1,940"
2-SAN ANTON,NO DOMESTICO,2024/01/31,"2,511,011",194
2-SAN ANTON,DOMESTICO,2024/02/29,"9,806,267","1,943"
2-SAN ANTON,NO DOMESTICO,2024/02/29,"3,105,118",194
2-SAN ANTON,DOMESTICO,2024/03/31,"10,694,394","1,948"
2-SAN ANTON,NO DOMESTICO,2024/03/31,"2,978,692",194
2-SAN ANTON,DOMESTICO,2024/04/30,"10,876,039","1,918"
2-SAN ANTON,NO DOMESTICO,2024/04/30,"3,471,811",191
2-SAN ANTON,DOMESTICO,2024/05/31,"11,483,346","1,955"
2-SAN ANTON,NO DOMESTICO,2024/05/31,"3,483,799",195
2-SAN ANTON,DOMESTICO,2024/06/30,"12,841,050","1,963"
2-SAN ANTON,NO DOMESTICO,2024/06/30,"3,893,731",196
2-SAN ANTON,DOMESTICO,2024/07/31,"13,418,426","1,963"
2-SAN ANTON,NO DOMESTICO,2024/07/31,"4,134,422",196
2-SAN ANTON,DOMESTICO,2024/08/31,"14,746,805","1,977"
2-SAN ANTON,NO DOMESTICO,2024/08/31,"4,780,022",197
2-SAN ANTON,DOMESTICO,2024/09/30,"11,845,464","1,948"
2-SAN ANTON,NO DOMESTICO,2024/09/30,"3,684,863",194
2-SAN ANTON,DOMESTICO,2024/10/31,"11,584,958","1,987"
2-SAN ANTON,NO DOMESTICO,2024/10/31,"4,530,679",198
2-SAN ANTON,DOMESTICO,2024/11/30,"10,749,836","1,993"
2-SAN ANTON,NO DOMESTICO,2024/11/30,"3,465,854",199
2-SAN ANTON,DOMESTICO,2024/12/31,"9,362,057","2,000"
2-SAN ANTON,NO DOMESTICO,2024/12/31,"2,979,149",200
3-CENTRO,DOMESTICO,2022/01/31,"34,127,827","6,251"
3-CENTRO,NO DOMESTICO,2022/01/31,"9,839,228",625
3-CENTRO,DOMESTICO,2022/02/28,"40,359,719","6,324"
3-CENTRO,NO DOMESTICO,2022/02/28,"10,292,706",632
3-CENTRO,DOMESTICO,2022/03/31,"36,225,409","6,381"
3-CENTRO,NO DOMESTICO,2022/03/31,"10,455,681",638
3-CENTRO,DOMESTICO,2022/04/30,"41,896,724","6,425"
3-CENTRO,NO DOMESTICO,2022/04/30,"11,476,383",642
3-CENTRO,DOMESTICO,2022/05/31,"45,946,550","6,330"
3-CENTRO,NO DOMESTICO,2022/05/31,"12,978,577",633
3-CENTRO,DOMESTICO,2022/06/30,"95,312,831","6,408"
3-CENTRO,NO DOMESTICO,2022/06/30,"33,456,318",640
3-CENTRO,DOMESTICO,2022/07/31,"95,121,904","6,453"
3-CENTRO,NO DOMESTICO,2022/07/31,"27,013,197",645
3-CENTRO,DOMESTICO,2022/08/31,"98,224,959","6,486"
3-CENTRO,NO DOMESTICO,2022/08/31,"30,629,583",648
3-CENTRO,DOMESTICO,2022/09/30,"85,976,411","6,505"
3-CENTRO,NO DOMESTICO,2022/09/30,"24,793,833",650
3-CENTRO,DOMESTICO,2022/10/31,"44,560,806","6,428"
3-CENTRO,NO DOMESTICO,2022/10/31,"13,784,176",642
3-CENTRO,DOMESTICO,2022/11/30,"38,341,897","6,409"
3-CENTRO,NO DOMESTICO,2022/11/30,"13,436,493",640
3-CENTRO,DOMESTICO,2022/12/31,"32,367,677","6,572"
3-CENTRO,NO DOMESTICO,2022/12/31,"9,331,297",657
3-CENTRO,DOMESTICO,2023/01/31,"35,206,718","6,606"
3-CENTRO,NO DOMESTICO,2023/01/31,"10,927,092",660
3-CENTRO,DOMESTICO,2023/02/28,"35,969,596","6,594"
3-CENTRO,NO DOMESTICO,2023/02/28,"10,732,977",659
3-CENTRO,DOMESTICO,2023/03/31,"37,261,461","6,360"
3-CENTRO,NO DOMESTICO,2023/03/31,"10,952,572",636
3-CENTRO,DOMESTICO,2023/04/30,"45,726,591","6,504"
3-CENTRO,NO DOMESTICO,2023/04/30,"12,141,014",650
3-CENTRO,DOMESTICO,2023/05/31,"46,451,160","6,574"
3-CENTRO,NO DOMESTICO,2023/05/31,"15,532,663",657
3-CENTRO,DOMESTICO,2023/06/30,"106,050,150","6,530"
3-CENTRO,NO DOMESTICO,2023/06/30,"29,316,905",653
3-CENTRO,DOMESTICO,2023/07/31,"106,165,184","6,669"
3-CENTRO,NO DOMESTICO,2023/07/31,"31,984,186",666
3-CENTRO,DOMESTICO,2023/08/31,"109,315,510","6,634"
3-CENTRO,NO DOMESTICO,2023/08/31,"36,933,400",663
3-CENTRO,DOMESTICO,2023/09/30,"94,251,417","6,600"
3-CENTRO,NO DOMESTICO,2023/09/30,"27,932,082",660
3-CENTRO,DOMESTICO,2023/10/31,"43,491,785","6,733"
3-CENTRO,NO DOMESTICO,2023/10/31,"12,392,036",673
3-CENTRO,DOMESTICO,2023/11/30,"37,390,469","6,702"
3-CENTRO,NO DOMESTICO,2023/11/30,"10,685,072",670
3-CENTRO,DOMESTICO,2023/12/31,"36,825,881","6,788"
3-CENTRO,NO DOMESTICO,2023/12/31,"10,423,057",678
3-CENTRO,DOMESTICO,2024/01/31,"38,203,361","6,810"
3-CENTRO,NO DOMESTICO,2024/01/31,"12,206,305",681
3-CENTRO,DOMESTICO,2024/02/29,"37,349,565","6,812"
3-CENTRO,NO DOMESTICO,2024/02/29,"10,699,586",681
3-CENTRO,DOMESTICO,2024/03/31,"43,513,283","6,838"
3-CENTRO,NO DOMESTICO,2024/03/31,"13,016,910",683
3-CENTRO,DOMESTICO,2024/04/30,"47,141,198","6,817"
3-CENTRO,NO DOMESTICO,2024/04/30,"13,459,227",681
3-CENTRO,DOMESTICO,2024/05/31,"47,691,195","6,863"
3-CENTRO,NO DOMESTICO,2024/05/31,"14,052,057",686
3-CENTRO,DOMESTICO,2024/06/30,"114,979,960","6,917"
3-CENTRO,NO DOMESTICO,2024/06/30,"38,057,928",691
3-CENTRO,DOMESTICO,2024/07/31,"113,620,066","6,868"
3-CENTRO,NO DOMESTICO,2024/07/31,"34,929,249",686
3-CENTRO,DOMESTICO,2024/08/31,"112,859,590","6,877"
3-CENTRO,NO DOMESTICO,2024/08/31,"31,609,412",687
3-CENTRO,DOMESTICO,2024/09/30,"89,752,772","7,036"
3-CENTRO,NO DOMESTICO,2024/09/30,"29,395,390",703
3-CENTRO,DOMESTICO,2024/10/31,"45,804,118","6,973"
3-CENTRO,NO DOMESTICO,2024/10/31,"14,425,765",697
3-CENTRO,DOMESTICO,2024/11/30,"37,921,357","6,941"
3-CENTRO,NO DOMESTICO,2024/11/30,"11,443,748",694
3-CENTRO,DOMESTICO,2024/12/31,"38,670,716","6,918"
3-CENTRO,NO DOMESTICO,2024/12/31,"11,451,473",691
4-MERCADO,DOMESTICO,2022/01/31,"9,751,068","2,082"
4-MERCADO,NO DOMESTICO,2022/01/31,"3,019,054",208
4-MERCADO,DOMESTICO,2022/02/28,"9,894,997","2,094"
4-MERCADO,NO DOMESTICO,2022/02/28,"3,020,589",209
4-MERCADO,DOMESTICO,2022/03/31,"10,976,969","2,117"
4-MERCADO,NO DOMESTICO,2022/03/31,"3,158,518",211
4-MERCADO,DOMESTICO,2022/04/30,"11,028,000","2,123"
4-MERCADO,NO DOMESTICO,2022/04/30,"2,931,735",212
4-MERCADO,DOMESTICO,2022/05/31,"12,625,087","2,110"
4-MERCADO,NO DOMESTICO,2022/05/31,"3,881,731",211
4-MERCADO,DOMESTICO,2022/06/30,"14,899,143","2,162"
4-MERCADO,NO DOMESTICO,2022/06/30,"4,408,470",216
4-MERCADO,DOMESTICO,2022/07/31,"14,209,158","2,137"
4-MERCADO,NO DOMESTICO,2022/07/31,"4,242,491",213
4-MERCADO,DOMESTICO,2022/08/31,"14,842,510","2,138"
4-MERCADO,NO DOMESTICO,2022/08/31,"4,142,517",213
4-MERCADO,DOMESTICO,2022/09/30,"14,331,932","2,161"
4-MERCADO,NO DOMESTICO,2022/09/30,"4,260,197",216
4-MERCADO,DOMESTICO,2022/10/31,"12,291,517","2,165"
4-MERCADO,NO DOMESTICO,2022/10/31,"3,560,854",216
4-MERCADO,DOMESTICO,2022/11/30,"10,685,699","2,167"
4-MERCADO,NO DOMESTICO,2022/11/30,"3,220,323",216
4-MERCADO,DOMESTICO,2022/12/31,"9,898,692","2,153"
4-MERCADO,NO DOMESTICO,2022/12/31,"3,083,613",215
4-MERCADO,DOMESTICO,2023/01/31,"11,004,204","2,206"
4-MERCADO,NO DOMESTICO,2023/01/31,"3,859,393",220
4-MERCADO,DOMESTICO,2023/02/28,"11,134,464","2,165"
4-MERCADO,NO DOMESTICO,2023/02/28,"3,381,505",216
4-MERCADO,DOMESTICO,2023/03/31,"11,404,553","2,234"
4-MERCADO,NO DOMESTICO,2023/03/31,"3,185,811",223
4-MERCADO,DOMESTICO,2023/04/30,"10,916,579","2,181"
4-MERCADO,NO DOMESTICO,2023/04/30,"3,135,788",218
4-MERCADO,DOMESTICO,2023/05/31,"13,308,158","2,184"
4-MERCADO,NO DOMESTICO,2023/05/31,"4,094,090",218
4-MERCADO,DOMESTICO,2023/06/30,"15,546,857","2,246"
4-MERCADO,NO DOMESTICO,2023/06/30,"4,436,915",224
4-MERCADO,DOMESTICO,2023/07/31,"15,735,744","2,194"
4-MERCADO,NO DOMESTICO,2023/07/31,"4,214,429",219
4-MERCADO,DOMESTICO,2023/08/31,"16,336,396","2,258"
4-MERCADO,NO DOMESTICO,2023/08/31,"4,700,255",225
4-MERCADO,DOMESTICO,2023/09/30,"14,403,613","2,190"
4-MERCADO,NO DOMESTICO,2023/09/30,"4,281,489",219
4-MERCADO,DOMESTICO,2023/10/31,"11,404,004","2,258"
4-MERCADO,NO DOMESTICO,2023/10/31,"3,245,614",225
4-MERCADO,DOMESTICO,2023/11/30,"11,054,771","2,238"
4-MERCADO,NO DOMESTICO,2023/11/30,"3,185,594",223
4-MERCADO,DOMESTICO,2023/12/31,"9,810,895","2,257"
4-MERCADO,NO DOMESTICO,2023/12/31,"2,900,719",225
4-MERCADO,DOMESTICO,2024/01/31,"11,000,129","2,253"
4-MERCADO,NO DOMESTICO,2024/01/31,"3,483,262",225
4-MERCADO,DOMESTICO,2024/02/29,"10,160,137","2,233"
4-MERCADO,NO DOMESTICO,2024/02/29,"3,355,080",223
4-MERCADO,DOMESTICO,2024/03/31,"11,624,448","2,270"
4-MERCADO,NO DOMESTICO,2024/03/31,"3,920,085",227
4-MERCADO,DOMESTICO,2024/04/30,"13,473,421","2,272"
4-MERCADO,NO DOMESTICO,2024/04/30,"4,060,282",227
4-MERCADO,DOMESTICO,2024/05/31,"15,256,272","2,319"
4-MERCADO,NO DOMESTICO,2024/05/31,"4,468,314",231
4-MERCADO,DOMESTICO,2024/06/30,"15,709,297","2,303"
4-MERCADO,NO DOMESTICO,2024/06/30,"5,221,983",230
4-MERCADO,DOMESTICO,2024/07/31,"16,420,587","2,268"
4-MERCADO,NO DOMESTICO,2024/07/31,"5,324,447",226
4-MERCADO,DOMESTICO,2024/08/31,"14,513,969","2,258"
4-MERCADO,NO DOMESTICO,2024/08/31,"3,630,944",225
4-MERCADO,DOMESTICO,2024/09/30,"14,644,401","2,295"
4-MERCADO,NO DOMESTICO,2024/09/30,"4,910,625",229
4-MERCADO,DOMESTICO,2024/10/31,"13,703,665","2,309"
4-MERCADO,NO DOMESTICO,2024/10/31,"3,642,945",230
4-MERCADO,DOMESTICO,2024/11/30,"11,194,805","2,278"
4-MERCADO,NO DOMESTICO,2024/11/30,"3,449,473",227
4-MERCADO,DOMESTICO,2024/12/31,"9,548,054","2,319"
4-MERCADO,NO DOMESTICO,2024/12/31,"2,832,956",231
5-CAMPOAMOR,DOMESTICO,2022/01/31,"26,528,470","4,441"
5-CAMPOAMOR,NO DOMESTICO,2022/01/31,"8,190,103",444
5-CAMPOAMOR,DOMESTICO,2022/02/28,"26,067,052","4,471"
5-CAMPOAMOR,NO DOMESTICO,2022/02/28,"7,155,861",447
5-CAMPOAMOR,DOMESTICO,2022/03/31,"30,620,743","4,524"
5-CAMPOAMOR,NO DOMESTICO,2022/03/31,"8,454,333",452
5-CAMPOAMOR,DOMESTICO,2022/04/30,"30,205,747","4,563"
5-CAMPOAMOR,NO DOMESTICO,2022/04/30,"8,481,360",456
5-CAMPOAMOR,DOMESTICO,2022/05/31,"31,678,594","4,549"
5-CAMPOAMOR,NO DOMESTICO,2022/05/31,"9,064,676",454
5-CAMPOAMOR,DOMESTICO,2022/06/30,"39,769,673","4,513"
5-CAMPOAMOR,NO DOMESTICO,2022/06/30,"11,956,606",451
5-CAMPOAMOR,DOMESTICO,2022/07/31,"39,080,192","4,549"
5-CAMPOAMOR,NO DOMESTICO,2022/07/31,"11,595,715",454
5-CAMPOAMOR,DOMESTICO,2022/08/31,"39,196,667","4,584"
5-CAMPOAMOR,NO DOMESTICO,2022/08/31,"12,460,720",458
5-CAMPOAMOR,DOMESTICO,2022/09/30,"33,301,127","4,584"
5-CAMPOAMOR,NO DOMESTICO,2022/09/30,"9,761,983",458
5-CAMPOAMOR,DOMESTICO,2022/10/31,"27,820,827","4,517"
5-CAMPOAMOR,NO DOMESTICO,2022/10/31,"9,244,561",451
5-CAMPOAMOR,DOMESTICO,2022/11/30,"27,827,780","4,709"
5-CAMPOAMOR,NO DOMESTICO,2022/11/30,"8,716,705",470
5-CAMPOAMOR,DOMESTICO,2022/12/31,"29,997,135","4,662"
5-CAMPOAMOR,NO DOMESTICO,2022/12/31,"9,800,951",466
5-CAMPOAMOR,DOMESTICO,2023/01/31,"25,625,920","4,656"
5-CAMPOAMOR,NO DOMESTICO,2023/01/31,"6,691,142",465
5-CAMPOAMOR,DOMESTICO,2023/02/28,"26,969,066","4,684"
5-CAMPOAMOR,NO DOMESTICO,2023/02/28,"7,164,032",468
5-CAMPOAMOR,DOMESTICO,2023/03/31,"28,469,564","4,659"
5-CAMPOAMOR,NO DOMESTICO,2023/03/31,"9,674,916",465
5-CAMPOAMOR,DOMESTICO,2023/04/30,"32,232,745","4,742"
5-CAMPOAMOR,NO DOMESTICO,2023/04/30,"10,810,126",474
5-CAMPOAMOR,DOMESTICO,2023/05/31,"33,163,888","4,719"
5-CAMPOAMOR,NO DOMESTICO,2023/05/31,"11,140,184",471
5-CAMPOAMOR,DOMESTICO,2023/06/30,"36,160,143","4,753"
5-CAMPOAMOR,NO DOMESTICO,2023/06/30,"10,676,116",475
5-CAMPOAMOR,DOMESTICO,2023/07/31,"37,211,594","4,703"
5-CAMPOAMOR,NO DOMESTICO,2023/07/31,"11,982,978",470
5-CAMPOAMOR,DOMESTICO,2023/08/31,"37,360,262","4,842"
5-CAMPOAMOR,NO DOMESTICO,2023/08/31,"11,708,025",484
5-CAMPOAMOR,DOMESTICO,2023/09/30,"34,591,643","4,740"
5-CAMPOAMOR,NO DOMESTICO,2023/09/30,"9,885,687",474
5-CAMPOAMOR,DOMESTICO,2023/10/31,"31,690,714","4,744"
5-CAMPOAMOR,NO DOMESTICO,2023/10/31,"8,867,729",474
5-CAMPOAMOR,DOMESTICO,2023/11/30,"28,704,770","4,809"
5-CAMPOAMOR,NO DOMESTICO,2023/11/30,"8,431,008",480
5-CAMPOAMOR,DOMESTICO,2023/12/31,"25,825,070","4,769"
5-CAMPOAMOR,NO DOMESTICO,2023/12/31,"8,200,209",476
5-CAMPOAMOR,DOMESTICO,2024/01/31,"26,640,819","4,846"
5-CAMPOAMOR,NO DOMESTICO,2024/01/31,"8,045,782",484
5-CAMPOAMOR,DOMESTICO,2024/02/29,"26,715,067","4,871"
5-CAMPOAMOR,NO DOMESTICO,2024/02/29,"8,361,185",487
5-CAMPOAMOR,DOMESTICO,2024/03/31,"32,032,186","4,821"
5-CAMPOAMOR,NO DOMESTICO,2024/03/31,"9,021,011",482
5-CAMPOAMOR,DOMESTICO,2024/04/30,"29,877,657","4,783"
5-CAMPOAMOR,NO DOMESTICO,2024/04/30,"8,992,133",478
5-CAMPOAMOR,DOMESTICO,2024/05/31,"34,281,349","4,889"
5-CAMPOAMOR,NO DOMESTICO,2024/05/31,"10,789,909",488
5-CAMPOAMOR,DOMESTICO,2024/06/30,"38,515,905","4,816"
5-CAMPOAMOR,NO DOMESTICO,2024/06/30,"10,422,329",481
5-CAMPOAMOR,DOMESTICO,2024/07/31,"41,535,704","4,875"
5-CAMPOAMOR,NO DOMESTICO,2024/07/31,"11,591,101",487
5-CAMPOAMOR,DOMESTICO,2024/08/31,"42,704,423","4,901"
5-CAMPOAMOR,NO DOMESTICO,2024/08/31,"12,217,573",490
5-CAMPOAMOR,DOMESTICO,2024/09/30,"35,068,666","4,969"
5-CAMPOAMOR,NO DOMESTICO,2024/09/30,"10,946,645",496
5-CAMPOAMOR,DOMESTICO,2024/10/31,"29,260,644","5,010"
5-CAMPOAMOR,NO DOMESTICO,2024/10/31,"8,218,569",501
5-CAMPOAMOR,DOMESTICO,2024/11/30,"29,521,472","4,984"
5-CAMPOAMOR,NO DOMESTICO,2024/11/30,"9,112,085",498
5-CAMPOAMOR,DOMESTICO,2024/12/31,"27,692,698","4,945"
5-CAMPOAMOR,NO DOMESTICO,2024/12/31,"8,196,046",494
6-LOS ANGELES,DOMESTICO,2022/01/31,"13,408,021","2,832"
6-LOS ANGELES,NO DOMESTICO,2022/01/31,"4,128,127",283
6-LOS ANGELES,DOMESTICO,2022/02/28,"13,202,710","2,796"
6-LOS ANGELES,NO DOMESTICO,2022/02/28,"3,815,544",279
6-LOS ANGELES,DOMESTICO,2022/03/31,"14,460,155","2,827"
6-LOS ANGELES,NO DOMESTICO,2022/03/31,"4,427,620",282
6-LOS ANGELES,DOMESTICO,2022/04/30,"16,547,149","2,883"
6-LOS ANGELES,NO DOMESTICO,2022/04/30,"4,829,639",288
6-LOS ANGELES,DOMESTICO,2022/05/31,"16,682,504","2,867"
6-LOS ANGELES,NO DOMESTICO,2022/05/31,"4,178,499",286
6-LOS ANGELES,DOMESTICO,2022/06/30,"16,548,676","2,813"
6-LOS ANGELES,NO DOMESTICO,2022/06/30,"4,819,847",281
6-LOS ANGELES,DOMESTICO,2022/07/31,"21,236,134","2,850"
6-LOS ANGELES,NO DOMESTICO,2022/07/31,"6,537,464",285
6-LOS ANGELES,DOMESTICO,2022/08/31,"19,930,533","2,852"
6-LOS ANGELES,NO DOMESTICO,2022/08/31,"4,918,050",285
6-LOS ANGELES,DOMESTICO,2022/09/30,"18,051,595","2,873"
6-LOS ANGELES,NO DOMESTICO,2022/09/30,"4,769,912",287
6-LOS ANGELES,DOMESTICO,2022/10/31,"15,933,920","2,907"
6-LOS ANGELES,NO DOMESTICO,2022/10/31,"4,610,236",290
6-LOS ANGELES,DOMESTICO,2022/11/30,"15,634,961","2,901"
6-LOS ANGELES,NO DOMESTICO,2022/11/30,"4,757,091",290
6-LOS ANGELES,DOMESTICO,2022/12/31,"12,774,194","2,899"
6-LOS ANGELES,NO DOMESTICO,2022/12/31,"3,560,624",289
6-LOS ANGELES,DOMESTICO,2023/01/31,"13,084,579","2,924"
6-LOS ANGELES,NO DOMESTICO,2023/01/31,"3,942,447",292
6-LOS ANGELES,DOMESTICO,2023/02/28,"14,347,368","2,895"
6-LOS ANGELES,NO DOMESTICO,2023/02/28,"4,411,470",289
