barrio,tipo_anomalia,year,month,electricity_kwh_total,electricity_kwh_per_m3,ratio_zscore,ratio_yoy,elec_water_anomaly_flag,source
6-LOS ANGELES,normal,2022,10,61192.0,2.87,0.7,1.08,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2022,11,63694.0,2.55,0.41,0.93,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2022,12,62969.0,2.9,0.73,0.99,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2023,1,61765.0,3.03,0.85,1.06,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2023,2,59914.0,3.01,0.83,1.08,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2023,3,56767.0,2.77,0.61,1.04,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2023,4,53509.0,2.56,0.41,0.99,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2023,5,59976.0,2.39,0.26,0.9,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2023,6,63830.0,2.7,0.54,0.92,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2023,7,73242.0,3.82,1.56,1.12,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2023,8,68371.0,3.73,1.48,1.12,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2023,9,59862.0,3.05,0.87,1.07,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2023,10,58778.0,2.72,0.56,1.03,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2023,11,58890.0,3.06,0.87,1.12,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2023,12,54205.0,3.07,0.88,1.05,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2024,1,58910.0,2.99,0.81,1.04,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2024,2,56947.0,2.63,0.48,0.95,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2024,3,47083.0,2.59,0.45,0.97,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2024,4,51999.0,2.58,0.43,0.99,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2024,5,53549.0,2.91,0.74,1.1,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2024,6,56882.0,3.21,1.01,1.09,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2024,7,69324.0,2.97,0.79,0.87,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2024,8,74655.0,3.27,1.06,0.98,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2024,9,58218.0,2.97,0.79,1.04,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2024,10,48930.0,2.77,0.61,1.05,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2024,11,61186.0,2.97,0.79,1.09,0,REE distribución + AMAEM ratio (synthetic)
6-LOS ANGELES,normal,2024,12,57488.0,3.17,0.97,1.09,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2022,1,74480.0,2.32,0.2,1.04,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2022,2,72984.0,2.14,0.04,0.99,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2022,3,66942.0,2.01,-0.08,0.97,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2022,4,66662.0,2.02,-0.07,1.01,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2022,5,67474.0,2.08,-0.02,1.01,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2022,6,73544.0,2.4,0.27,1.05,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2022,7,90045.0,2.57,0.43,0.97,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2022,8,93675.0,2.79,0.63,1.08,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2022,9,77350.0,2.15,0.04,0.97,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2022,10,67838.0,1.82,-0.25,0.89,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2022,11,69799.0,1.9,-0.18,0.9,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2022,12,70318.0,2.39,0.27,1.06,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2023,1,69534.0,2.5,0.36,1.12,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2023,2,74939.0,2.25,0.14,1.04,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2023,3,69055.0,2.08,-0.01,1.0,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2023,4,74769.0,1.86,-0.22,0.92,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2023,5,65822.0,2.04,-0.05,0.99,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2023,6,81704.0,2.08,-0.02,0.91,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2023,7,77445.0,2.23,0.12,0.84,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2023,8,90516.0,2.7,0.54,1.04,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2023,9,75090.0,2.0,-0.09,0.9,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2023,10,68346.0,2.01,-0.08,0.98,0,REE distribución + AMAEM ratio (synthetic)
8-ALIPARK,normal,2023,11,69374.0,2.21,0.1,1.04,0,REE distribución + AMAEM ratio (synthetic)
