EXPLOTACION,FECHA,MOTIVO_CAMBIO,EMPLAZAMIENTO,CALIBRE
ALICANTE,2020-01-16,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-01-16,ED-CAMBIO POR EDAD,FACHADA,25
ALICANTE,2020-01-16,CM-CAMBIO CLASE O MODELO,ARQUETA,15
ALICANTE,2020-01-16,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-16,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-01-16,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-16,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-16,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-16,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-17,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-01-17,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-17,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-01-17,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-01-17,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-17,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-01-17,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-17,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-17,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-17,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-01-18,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-18,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-01-18,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-18,ED-CAMBIO POR EDAD,GALERIA,25
ALICANTE,2020-01-18,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-01-18,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-18,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-01-18,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-18,TE-INSTALAR TELELECTURA,BATERIA,15
ALICANTE,2020-01-18,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-18,CM-CAMBIO CLASE O MODELO,FACHADA,15
ALICANTE,2020-01-18,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-18,CM-CAMBIO CLASE O MODELO,FACHADA,20
ALICANTE,2020-01-19,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-19,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-19,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-19,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-19,TE-INSTALAR TELELECTURA,ARQUETA,20
ALICANTE,2020-01-19,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-19,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-19,MR-MARCHA AL REVES,ARQUETA,13
ALICANTE,2020-01-19,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-19,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-19,TE-INSTALAR TELELECTURA,BATERIA,15
ALICANTE,2020-01-19,CM-CAMBIO CLASE O MODELO,BATERIA,20
ALICANTE,2020-01-19,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-20,CM-CAMBIO CLASE O MODELO,BATERIA,15
ALICANTE,2020-01-20,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-20,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-20,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-01-20,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-20,TE-INSTALAR TELELECTURA,GALERIA,25
ALICANTE,2020-01-20,CM-CAMBIO CLASE O MODELO,GALERIA,20
ALICANTE,2020-01-20,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-01-20,CM-CAMBIO CLASE O MODELO,BATERIA,20
ALICANTE,2020-01-21,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-21,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-21,TE-INSTALAR TELELECTURA,FACHADA,20
ALICANTE,2020-01-21,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-21,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-21,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-21,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-01-21,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-21,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-01-22,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-22,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-22,TE-INSTALAR TELELECTURA,ARQUETA,20
ALICANTE,2020-01-22,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-01-22,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-23,TE-INSTALAR TELELECTURA,BATERIA,20
ALICANTE,2020-01-23,CM-CAMBIO CLASE O MODELO,ARQUETA,15
ALICANTE,2020-01-23,TE-INSTALAR TELELECTURA,BATERIA,15
ALICANTE,2020-01-23,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-23,CM-CAMBIO CLASE O MODELO,FACHADA,15
ALICANTE,2020-01-23,CM-CAMBIO CLASE O MODELO,ARQUETA,15
ALICANTE,2020-01-23,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-23,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-23,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-23,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-23,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-23,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-01-23,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-01-23,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-24,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-24,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-24,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-01-24,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-01-24,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-24,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-24,ED-CAMBIO POR EDAD,GALERIA,15
ALICANTE,2020-01-24,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-24,TE-INSTALAR TELELECTURA,FACHADA,20
ALICANTE,2020-01-24,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-24,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-24,ED-CAMBIO POR EDAD,ARQUETA,20
ALICANTE,2020-01-25,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-01-25,ED-CAMBIO POR EDAD,BATERIA,15
ALICANTE,2020-01-25,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-25,CM-CAMBIO CLASE O MODELO,ARQUETA,15
ALICANTE,2020-01-25,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-01-25,TE-INSTALAR TELELECTURA,BATERIA,15
ALICANTE,2020-01-25,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-26,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-26,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-26,ED-CAMBIO POR EDAD,BATERIA,15
ALICANTE,2020-01-26,ED-CAMBIO POR EDAD,FACHADA,15
ALICANTE,2020-01-26,CM-CAMBIO CLASE O MODELO,BATERIA,20
ALICANTE,2020-01-26,MR-MARCHA AL REVES,GALERIA,15
ALICANTE,2020-01-26,CM-CAMBIO CLASE O MODELO,GALERIA,15
ALICANTE,2020-01-26,CM-CAMBIO CLASE O MODELO,GALERIA,20
ALICANTE,2020-01-26,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-26,ED-CAMBIO POR EDAD,BATERIA,15
ALICANTE,2020-01-26,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-27,ED-CAMBIO POR EDAD,GALERIA,25
ALICANTE,2020-01-27,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-27,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-01-27,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-01-27,CM-CAMBIO CLASE O MODELO,BATERIA,15
ALICANTE,2020-01-27,TE-INSTALAR TELELECTURA,GALERIA,20
ALICANTE,2020-01-27,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-01-27,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-27,TE-INSTALAR TELELECTURA,ARQUETA,15
ALICANTE,2020-01-27,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-01-27,CM-CAMBIO CLASE O MODELO,BATERIA,20
ALICANTE,2020-01-28,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-28,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-01-28,ED-CAMBIO POR EDAD,BATERIA,15
ALICANTE,2020-01-28,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-28,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-28,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-01-28,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-01-28,CM-CAMBIO CLASE O MODELO,GALERIA,20
ALICANTE,2020-01-28,ED-CAMBIO POR EDAD,BATERIA,25
ALICANTE,2020-01-28,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-02-01,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-02-01,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-02-01,CM-CAMBIO CLASE O MODELO,BATERIA,25
ALICANTE,2020-02-01,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-02-01,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-02-01,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-02-01,CM-CAMBIO CLASE O MODELO,ARQUETA,20
ALICANTE,2020-02-02,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-02-02,TE-INSTALAR TELELECTURA,FACHADA,20
ALICANTE,2020-02-02,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-02-02,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-02-02,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-02-02,ED-CAMBIO POR EDAD,BATERIA,20
ALICANTE,2020-02-02,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-02-02,ED-CAMBIO POR EDAD,BATERIA,25
ALICANTE,2020-02-02,ED-CAMBIO POR EDAD,ARQUETA,13
ALICANTE,2020-02-02,ED-CAMBIO POR EDAD,GALERIA,20
ALICANTE,2020-02-02,ED-CAMBIO POR EDAD,FACHADA,15
ALICANTE,2020-02-02,ED-CAMBIO POR EDAD,BATERIA,20
ALICANTE,2020-02-02,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-02-02,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-02-02,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-02-03,CM-CAMBIO CLASE O MODELO,GALERIA,20
ALICANTE,2020-02-03,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-02-03,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-02-03,CM-CAMBIO CLASE O MODELO,ARQUETA,13
ALICANTE,2020-02-03,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-02-03,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-02-03,CM-CAMBIO CLASE O MODELO,GALERIA,13
ALICANTE,2020-02-03,ED-CAMBIO POR EDAD,ARQUETA,20
ALICANTE,2020-02-03,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-02-03,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-02-04,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-02-04,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-02-04,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-02-04,TE-INSTALAR TELELECTURA,BATERIA,15
ALICANTE,2020-02-04,ED-CAMBIO POR EDAD,BATERIA,13
ALICANTE,2020-02-04,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-02-04,ED-CAMBIO POR EDAD,ARQUETA,15
ALICANTE,2020-02-04,CM-CAMBIO CLASE O MODELO,BATERIA,13
ALICANTE,2020-02-04,ED-CAMBIO POR EDAD,ARQUETA,25
ALICANTE,2020-02-04,TE-INSTALAR TELELECTURA,BATERIA,13
ALICANTE,2020-02-04,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-02-04,TE-INSTALAR TELELECTURA,ARQUETA,13
ALICANTE,2020-02-04,CM-CAMBIO CLASE O MODELO,GALERIA,15
ALICANTE,2020-02-04,TE-INSTALAR TELELECTURA,GALERIA,13
ALICANTE,2020-02-04,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-02-04,CM-CAMBIO CLASE O MODELO,FACHADA,13
ALICANTE,2020-02-05,TE-INSTALAR TELELECTURA,ARQUETA,20
ALICANTE,2020-02-05,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-02-05,TE-INSTALAR TELELECTURA,FACHADA,13
ALICANTE,2020-02-05,ED-CAMBIO POR EDAD,GALERIA,13
ALICANTE,2020-02-05,ED-CAMBIO POR EDAD,GALERIA,15
ALICANTE,2020-02-05,ED-CAMBIO POR EDAD,FACHADA,13
ALICANTE,2020-02-05,CM-CAMBIO CLASE O MODELO,FACHADA,13
