Barrio,Uso,Fecha (aaaa/mm/dd),Consumo (litros),Nº Contratos
4-MERCADO,COMERCIAL,2022/01/31,"869,719",158
4-MERCADO,DOMESTICO,2022/01/31,"28,078,597","4,985"
4-MERCADO,NO DOMESTICO,2022/01/31,"4,145,008",632
53-POLIGONO ATALAYAS,COMERCIAL,2022/01/31,"420,140",33
53-POLIGONO ATALAYAS,NO DOMESTICO,2022/01/31,"6,633,754",152
54-POLIGONO VALLONGA,COMERCIAL,2022/01/31,"502,734",51
54-POLIGONO VALLONGA,NO DOMESTICO,2022/01/31,"6,477,809",214
55-PUERTO,COMERCIAL,2022/01/31,"4,204",2
55-PUERTO,NO DOMESTICO,2022/01/31,"1,537,989",15
56-DISPERSOS,DOMESTICO,2022/01/31,"93,269",3
56-DISPERSOS,NO DOMESTICO,2022/01/31,"233,695",5
5-CAMPOAMOR,COMERCIAL,2022/01/31,"305,883",68
5-CAMPOAMOR,DOMESTICO,2022/01/31,"25,668,854","4,458"
5-CAMPOAMOR,NO DOMESTICO,2022/01/31,"2,398,796",347
6-LOS ANGELES,COMERCIAL,2022/01/31,"226,349",60
6-LOS ANGELES,DOMESTICO,2022/01/31,"27,738,577","4,393"
6-LOS ANGELES,NO DOMESTICO,2022/01/31,"1,498,364",352
7-SAN AGUSTIN,COMERCIAL,2022/01/31,"24,261",3
7-SAN AGUSTIN,DOMESTICO,2022/01/31,"4,335,947",652
7-SAN AGUSTIN,NO DOMESTICO,2022/01/31,"1,174,458",36
8-ALIPARK,COMERCIAL,2022/01/31,"18,889",11
8-ALIPARK,DOMESTICO,2022/01/31,"5,611,495","1,046"
8-ALIPARK,NO DOMESTICO,2022/01/31,"153,684",71
9-FLORIDA ALTA,COMERCIAL,2022/01/31,"189,613",28
9-FLORIDA ALTA,DOMESTICO,2022/01/31,"10,696,440","1,796"
9-FLORIDA ALTA,NO DOMESTICO,2022/01/31,"687,545",191
BACAROT,COMERCIAL,2022/01/31,354,2
BACAROT,DOMESTICO,2022/01/31,"2,054,762",242
BACAROT,NO DOMESTICO,2022/01/31,"2,097,979",41
FONTCALENT,DOMESTICO,2022/01/31,"3,607,693",331
FONTCALENT,NO DOMESTICO,2022/01/31,"48,732",6
LA ALCORAYA,DOMESTICO,2022/01/31,"1,525,950",209
LA ALCORAYA,NO DOMESTICO,2022/01/31,"369,807",2
LA CAÑADA,COMERCIAL,2022/01/31,"63,670",1
LA CAÑADA,DOMESTICO,2022/01/31,"6,824,616",704
LA CAÑADA,NO DOMESTICO,2022/01/31,"5,626,630",23
MONNEGRE,DOMESTICO,2022/01/31,"1,396,077",105
MONNEGRE,NO DOMESTICO,2022/01/31,"3,509",1
MORALET,DOMESTICO,2022/01/31,"7,362,176",789
MORALET,NO DOMESTICO,2022/01/31,"249,968",20
PDA VALLONGA,DOMESTICO,2022/01/31,"1,349,310",146
REBOLLEDO,COMERCIAL,2022/01/31,"22,113",1
REBOLLEDO,DOMESTICO,2022/01/31,"4,355,731",537
REBOLLEDO,NO DOMESTICO,2022/01/31,"491,425",21
SANTA FAZ,COMERCIAL,2022/01/31,"24,186",3
SANTA FAZ,DOMESTICO,2022/01/31,"4,338,282",368
SANTA FAZ,NO DOMESTICO,2022/01/31,"510,192",33
TABARCA,COMERCIAL,2022/01/31,,
TABARCA,DOMESTICO,2022/01/31,"361,715",143
TABARCA,NO DOMESTICO,2022/01/31,"48,361",17
VERDEGAS,COMERCIAL,2022/01/31,"5,621",2
VERDEGAS,DOMESTICO,2022/01/31,"1,474,920",203
VERDEGAS,NO DOMESTICO,2022/01/31,"65,392",5
VILLAFRANQUEZA,COMERCIAL,2022/01/31,"22,829",6
VILLAFRANQUEZA,DOMESTICO,2022/01/31,"9,498,179","1,356"
VILLAFRANQUEZA,NO DOMESTICO,2022/01/31,"969,454",103
10-FLORIDA BAJA,COMERCIAL,2022/02/28,"453,804",91
10-FLORIDA BAJA,DOMESTICO,2022/02/28,"25,779,380","4,665"
10-FLORIDA BAJA,NO DOMESTICO,2022/02/28,"4,521,573",417
11-CIUDAD DE ASIS,COMERCIAL,2022/02/28,"1,820,607",89
11-CIUDAD DE ASIS,DOMESTICO,2022/02/28,"12,964,656","2,258"
11-CIUDAD DE ASIS,NO DOMESTICO,2022/02/28,"15,965,323",522
12-POLIGONO BABEL,COMERCIAL,2022/02/28,"730,925",74
12-POLIGONO BABEL,DOMESTICO,2022/02/28,"36,121,934","5,755"
12-POLIGONO BABEL,NO DOMESTICO,2022/02/28,"4,534,450",264
13-SAN GABRIEL,COMERCIAL,2022/02/28,"123,865",26
13-SAN GABRIEL,DOMESTICO,2022/02/28,"13,897,165","2,179"
13-SAN GABRIEL,NO DOMESTICO,2022/02/28,"2,425,693",156
14-ENSANCHE DIPUTACION,COMERCIAL,2022/02/28,"1,528,375",342
14-ENSANCHE DIPUTACION,DOMESTICO,2022/02/28,"37,080,351","6,967"
14-ENSANCHE DIPUTACION,NO DOMESTICO,2022/02/28,"12,458,036","1,214"
15-POLIGONO SAN BLAS,COMERCIAL,2022/02/28,"616,410",90
15-POLIGONO SAN BLAS,DOMESTICO,2022/02/28,"61,012,933","8,976"
15-POLIGONO SAN BLAS,NO DOMESTICO,2022/02/28,"10,405,009",340
16-PLA DEL BON REPOS,COMERCIAL,2022/02/28,"353,961",78
16-PLA DEL BON REPOS,DOMESTICO,2022/02/28,"24,410,626","5,241"
16-PLA DEL BON REPOS,NO DOMESTICO,2022/02/28,"1,987,648",307
17-CAROLINAS ALTAS,COMERCIAL,2022/02/28,"455,258",125
17-CAROLINAS ALTAS,DOMESTICO,2022/02/28,"40,129,169","7,279"
17-CAROLINAS ALTAS,NO DOMESTICO,2022/02/28,"9,768,125",656
18-CAROLINAS BAJAS,COMERCIAL,2022/02/28,"173,312",61
18-CAROLINAS BAJAS,DOMESTICO,2022/02/28,"16,329,032","3,225"
18-CAROLINAS BAJAS,NO DOMESTICO,2022/02/28,"1,076,542",285
19-GARBINET,COMERCIAL,2022/02/28,"774,798",84
19-GARBINET,DOMESTICO,2022/02/28,"36,702,453","5,335"
19-GARBINET,NO DOMESTICO,2022/02/28,"5,628,130",268
1-BENALUA,COMERCIAL,2022/02/28,"531,043",134
1-BENALUA,DOMESTICO,2022/02/28,"22,212,746","4,442"
1-BENALUA,NO DOMESTICO,2022/02/28,"2,336,645",511
20-RABASA,COMERCIAL,2022/02/28,"22,759",5
20-RABASA,DOMESTICO,2022/02/28,"6,243,934",973
20-RABASA,NO DOMESTICO,2022/02/28,"2,432,488",68
21-TOMBOLA,COMERCIAL,2022/02/28,"12,226",4
21-TOMBOLA,DOMESTICO,2022/02/28,"6,125,286",986
21-TOMBOLA,NO DOMESTICO,2022/02/28,"118,334",52
22-CASCO ANTIGUO - SANTA CRUZ,COMERCIAL,2022/02/28,"828,651",100
22-CASCO ANTIGUO - SANTA CRUZ,DOMESTICO,2022/02/28,"7,569,102","1,692"
22-CASCO ANTIGUO - SANTA CRUZ,NO DOMESTICO,2022/02/28,"4,526,791",357
23-RAVAL ROIG -V. DEL SOCORRO,COMERCIAL,2022/02/28,"27,385",7
23-RAVAL ROIG -V. DEL SOCORRO,DOMESTICO,2022/02/28,"3,708,675","1,008"
23-RAVAL ROIG -V. DEL SOCORRO,NO DOMESTICO,2022/02/28,"204,328",69
24-SAN BLAS - SANTO DOMINGO,COMERCIAL,2022/02/28,"220,035",62
24-SAN BLAS - SANTO DOMINGO,DOMESTICO,2022/02/28,"19,930,396","3,832"
24-SAN BLAS - SANTO DOMINGO,NO DOMESTICO,2022/02/28,"1,590,745",397
25-ALTOZANO - CONDE LUMIARES,COMERCIAL,2022/02/28,"355,491",63
25-ALTOZANO - CONDE LUMIARES,DOMESTICO,2022/02/28,"22,327,319","3,846"
25-ALTOZANO - CONDE LUMIARES,NO DOMESTICO,2022/02/28,"1,680,710",280
26-SIDI IFNI - NOU ALACANT,COMERCIAL,2022/02/28,"3,848",9
26-SIDI IFNI - NOU ALACANT,DOMESTICO,2022/02/28,"3,819,072",708
26-SIDI IFNI - NOU ALACANT,NO DOMESTICO,2022/02/28,"385,370",29
27-SAN FERNANDO-PRIN. MERCEDES,COMERCIAL,2022/02/28,"115,751",16
27-SAN FERNANDO-PRIN. MERCEDES,DOMESTICO,2022/02/28,"7,657,719","1,494"
27-SAN FERNANDO-PRIN. MERCEDES,NO DOMESTICO,2022/02/28,"460,698",62
28-EL PALMERAL,COMERCIAL,2022/02/28,"113,330",16
28-EL PALMERAL,DOMESTICO,2022/02/28,"4,029,027",718
28-EL PALMERAL,NO DOMESTICO,2022/02/28,"12,423,416",64
29-URBANOVA,COMERCIAL,2022/02/28,"193,521",9
29-URBANOVA,DOMESTICO,2022/02/28,"2,704,706","1,351"
29-URBANOVA,NO DOMESTICO,2022/02/28,"1,183,040",34
2-SAN ANTON,COMERCIAL,2022/02/28,"38,158",12
2-SAN ANTON,DOMESTICO,2022/02/28,"4,025,865",813
2-SAN ANTON,NO DOMESTICO,2022/02/28,"396,739",81
30-DIVINA PASTORA,COMERCIAL,2022/02/28,"213,959",24
30-DIVINA PASTORA,DOMESTICO,2022/02/28,"3,963,509",590
30-DIVINA PASTORA,NO DOMESTICO,2022/02/28,"1,631,010",131
31-CIUDAD JARDIN,COMERCIAL,2022/02/28,46,1
31-CIUDAD JARDIN,DOMESTICO,2022/02/28,"2,810,068",358
31-CIUDAD JARDIN,NO DOMESTICO,2022/02/28,"310,881",9
32-VIRGEN DEL REMEDIO,COMERCIAL,2022/02/28,"100,128",19
32-VIRGEN DEL REMEDIO,DOMESTICO,2022/02/28,"26,872,797","5,226"
32-VIRGEN DEL REMEDIO,NO DOMESTICO,2022/02/28,"1,336,232",121
33- MORANT -SAN NICOLAS BARI,COMERCIAL,2022/02/28,"613,047",24
33- MORANT -SAN NICOLAS BARI,DOMESTICO,2022/02/28,"15,264,009","2,548"
33- MORANT -SAN NICOLAS BARI,NO DOMESTICO,2022/02/28,"906,395",97
34-COLONIA REQUENA,COMERCIAL,2022/02/28,"38,758",7
34-COLONIA REQUENA,DOMESTICO,2022/02/28,"1,769,350",380
34-COLONIA REQUENA,NO DOMESTICO,2022/02/28,"19,754",10
35-VIRGEN DEL CARMEN,COMERCIAL,2022/02/28,,
35-VIRGEN DEL CARMEN,DOMESTICO,2022/02/28,"3,208,392",485
35-VIRGEN DEL CARMEN,NO DOMESTICO,2022/02/28,"460,372",16
36-CUATROCIENTAS VIVIENDAS,COMERCIAL,2022/02/28,"1,513",2
36-CUATROCIENTAS VIVIENDAS,DOMESTICO,2022/02/28,"1,130,414",238
36-CUATROCIENTAS VIVIENDAS,NO DOMESTICO,2022/02/28,"126,880",17
37-JUAN XXIII,COMERCIAL,2022/02/28,"1,155,614",11
37-JUAN XXIII,DOMESTICO,2022/02/28,"11,002,663","2,094"
37-JUAN XXIII,NO DOMESTICO,2022/02/28,"3,106,179",38
38-VISTAHERMOSA,COMERCIAL,2022/02/28,"406,350",22
38-VISTAHERMOSA,DOMESTICO,2022/02/28,"14,826,941","2,139"
38-VISTAHERMOSA,NO DOMESTICO,2022/02/28,"9,651,877",128
39-ALBUFERETA,COMERCIAL,2022/02/28,"321,198",57
39-ALBUFERETA,DOMESTICO,2022/02/28,"34,618,143","7,305"
39-ALBUFERETA,NO DOMESTICO,2022/02/28,"8,776,193",316
3-CENTRO,COMERCIAL,2022/02/28,"2,641,398",295
3-CENTRO,DOMESTICO,2022/02/28,"16,059,490","3,519"
3-CENTRO,NO DOMESTICO,2022/02/28,"7,099,277","1,040"
40-CABO DE LAS HUERTAS,COMERCIAL,2022/02/28,"303,640",32
40-CABO DE LAS HUERTAS,DOMESTICO,2022/02/28,"40,598,090","6,343"
40-CABO DE LAS HUERTAS,NO DOMESTICO,2022/02/28,"4,680,859",169
41-PLAYA DE SAN JUAN,COMERCIAL,2022/02/28,"2,071,666",171
41-PLAYA DE SAN JUAN,DOMESTICO,2022/02/28,"71,544,325","14,291"
41-PLAYA DE SAN JUAN,NO DOMESTICO,2022/02/28,"9,828,444",489
4-MERCADO,COMERCIAL,2022/02/28,"827,177",159
4-MERCADO,DOMESTICO,2022/02/28,"25,459,006","4,988"
4-MERCADO,NO DOMESTICO,2022/02/28,"4,252,907",632
53-POLIGONO ATALAYAS,COMERCIAL,2022/02/28,"377,618",33
53-POLIGONO ATALAYAS,NO DOMESTICO,2022/02/28,"7,652,946",152
54-POLIGONO VALLONGA,COMERCIAL,2022/02/28,"730,555",54
54-POLIGONO VALLONGA,NO DOMESTICO,2022/02/28,"6,869,989",214
55-PUERTO,COMERCIAL,2022/02/28,"4,816",2
55-PUERTO,NO DOMESTICO,2022/02/28,"2,060,378",16
56-DISPERSOS,DOMESTICO,2022/02/28,"93,478",3
56-DISPERSOS,NO DOMESTICO,2022/02/28,"227,436",5
5-CAMPOAMOR,COMERCIAL,2022/02/28,"285,535",69
5-CAMPOAMOR,DOMESTICO,2022/02/28,"23,434,190","4,461"
5-CAMPOAMOR,NO DOMESTICO,2022/02/28,"2,556,348",349
6-LOS ANGELES,COMERCIAL,2022/02/28,"264,162",61
6-LOS ANGELES,DOMESTICO,2022/02/28,"25,117,548","4,398"
6-LOS ANGELES,NO DOMESTICO,2022/02/28,"1,632,557",353
7-SAN AGUSTIN,COMERCIAL,2022/02/28,"23,155",3
7-SAN AGUSTIN,DOMESTICO,2022/02/28,"3,917,889",653
7-SAN AGUSTIN,NO DOMESTICO,2022/02/28,"1,190,405",36
8-ALIPARK,COMERCIAL,2022/02/28,"16,254",12
8-ALIPARK,DOMESTICO,2022/02/28,"5,035,770","1,048"
8-ALIPARK,NO DOMESTICO,2022/02/28,"256,521",71
9-FLORIDA ALTA,COMERCIAL,2022/02/28,"205,428",29
9-FLORIDA ALTA,DOMESTICO,2022/02/28,"9,542,375","1,797"
9-FLORIDA ALTA,NO DOMESTICO,2022/02/28,"703,747",192
BACAROT,COMERCIAL,2022/02/28,422,2
BACAROT,DOMESTICO,2022/02/28,"2,052,200",240
BACAROT,NO DOMESTICO,2022/02/28,"2,136,738",42
FONTCALENT,DOMESTICO,2022/02/28,"3,635,051",333
FONTCALENT,NO DOMESTICO,2022/02/28,"129,718",7
LA ALCORAYA,DOMESTICO,2022/02/28,"1,762,579",211
LA ALCORAYA,NO DOMESTICO,2022/02/28,"1,078,145",2
LA CAÑADA,COMERCIAL,2022/02/28,"75,439",1
LA CAÑADA,DOMESTICO,2022/02/28,"6,685,867",708
LA CAÑADA,NO DOMESTICO,2022/02/28,"6,801,585",23
MONNEGRE,DOMESTICO,2022/02/28,"1,460,101",105
MONNEGRE,NO DOMESTICO,2022/02/28,"2,058",1
MORALET,DOMESTICO,2022/02/28,"7,658,401",793
MORALET,NO DOMESTICO,2022/02/28,"247,520",22
PDA VALLONGA,DOMESTICO,2022/02/28,"1,220,071",145
REBOLLEDO,COMERCIAL,2022/02/28,"23,123",1
REBOLLEDO,DOMESTICO,2022/02/28,"4,304,602",539
REBOLLEDO,NO DOMESTICO,2022/02/28,"491,733",21
SANTA FAZ,COMERCIAL,2022/02/28,"33,144",5
SANTA FAZ,DOMESTICO,2022/02/28,"4,115,056",368
SANTA FAZ,NO DOMESTICO,2022/02/28,"959,438",34
TABARCA,COMERCIAL,2022/02/28,,
TABARCA,DOMESTICO,2022/02/28,"266,317",142
TABARCA,NO DOMESTICO,2022/02/28,"82,088",19
VERDEGAS,COMERCIAL,2022/02/28,"6,508",2
VERDEGAS,DOMESTICO,2022/02/28,"1,482,491",204
VERDEGAS,NO DOMESTICO,2022/02/28,"50,640",5
VILLAFRANQUEZA,COMERCIAL,2022/02/28,"20,586",6
VILLAFRANQUEZA,DOMESTICO,2022/02/28,"8,895,775","1,358"
VILLAFRANQUEZA,NO DOMESTICO,2022/02/28,"1,335,124",105
10-FLORIDA BAJA,COMERCIAL,2022/03/31,"509,704",92
10-FLORIDA BAJA,DOMESTICO,2022/03/31,"28,387,440","4,671"
10-FLORIDA BAJA,NO DOMESTICO,2022/03/31,"4,811,445",415
11-CIUDAD DE ASIS,COMERCIAL,2022/03/31,"2,249,510",90
11-CIUDAD DE ASIS,DOMESTICO,2022/03/31,"14,106,767","2,258"
11-CIUDAD DE ASIS,NO DOMESTICO,2022/03/31,"19,055,420",526
12-POLIGONO BABEL,COMERCIAL,2022/03/31,"801,551",74
12-POLIGONO BABEL,DOMESTICO,2022/03/31,"38,985,214","5,753"
12-POLIGONO BABEL,NO DOMESTICO,2022/03/31,"5,015,280",266
13-SAN GABRIEL,COMERCIAL,2022/03/31,"186,377",26
13-SAN GABRIEL,DOMESTICO,2022/03/31,"14,954,192","2,180"
13-SAN GABRIEL,NO DOMESTICO,2022/03/31,"2,696,084",156
14-ENSANCHE DIPUTACION,COMERCIAL,2022/03/31,"1,677,032",343
14-ENSANCHE DIPUTACION,DOMESTICO,2022/03/31,"40,446,080","6,975"
14-ENSANCHE DIPUTACION,NO DOMESTICO,2022/03/31,"17,653,558","1,216"
15-POLIGONO SAN BLAS,COMERCIAL,2022/03/31,"659,599",91
15-POLIGONO SAN BLAS,DOMESTICO,2022/03/31,"66,098,049","8,972"
15-POLIGONO SAN BLAS,NO DOMESTICO,2022/03/31,"10,715,826",340
16-PLA DEL BON REPOS,COMERCIAL,2022/03/31,"341,519",77
16-PLA DEL BON REPOS,DOMESTICO,2022/03/31,"27,080,536","5,513"
16-PLA DEL BON REPOS,NO DOMESTICO,2022/03/31,"2,267,042",315
17-CAROLINAS ALTAS,COMERCIAL,2022/03/31,"524,627",132
17-CAROLINAS ALTAS,DOMESTICO,2022/03/31,"43,538,324","7,315"
17-CAROLINAS ALTAS,NO DOMESTICO,2022/03/31,"9,237,678",665
18-CAROLINAS BAJAS,COMERCIAL,2022/03/31,"177,746",63
18-CAROLINAS BAJAS,DOMESTICO,2022/03/31,"18,353,617","3,249"
18-CAROLINAS BAJAS,NO DOMESTICO,2022/03/31,"1,219,067",286
19-GARBINET,COMERCIAL,2022/03/31,"834,912",88
19-GARBINET,DOMESTICO,2022/03/31,"39,588,366","5,344"
19-GARBINET,NO DOMESTICO,2022/03/31,"6,236,306",268
1-BENALUA,COMERCIAL,2022/03/31,"631,628",133
1-BENALUA,DOMESTICO,2022/03/31,"24,410,700","4,448"
1-BENALUA,NO DOMESTICO,2022/03/31,"2,854,181",512
20-RABASA,COMERCIAL,2022/03/31,"29,025",5
20-RABASA,DOMESTICO,2022/03/31,"6,686,909",974
20-RABASA,NO DOMESTICO,2022/03/31,"2,444,680",68
21-TOMBOLA,COMERCIAL,2022/03/31,"11,746",4
21-TOMBOLA,DOMESTICO,2022/03/31,"6,622,407",988
21-TOMBOLA,NO DOMESTICO,2022/03/31,"131,836",53
22-CASCO ANTIGUO - SANTA CRUZ,COMERCIAL,2022/03/31,"1,235,858",104
22-CASCO ANTIGUO - SANTA CRUZ,DOMESTICO,2022/03/31,"8,195,079","1,689"
22-CASCO ANTIGUO - SANTA CRUZ,NO DOMESTICO,2022/03/31,"4,999,434",355
23-RAVAL ROIG -V. DEL SOCORRO,COMERCIAL,2022/03/31,"34,319",7
23-RAVAL ROIG -V. DEL SOCORRO,DOMESTICO,2022/03/31,"4,076,574","1,010"
23-RAVAL ROIG -V. DEL SOCORRO,NO DOMESTICO,2022/03/31,"247,721",70
24-SAN BLAS - SANTO DOMINGO,COMERCIAL,2022/03/31,"244,624",64
24-SAN BLAS - SANTO DOMINGO,DOMESTICO,2022/03/31,"21,971,648","3,842"
