barrio,tipo_anomalia,year,month,water_table_depth_m,monthly_change_m,precip_mm,precip_adjusted_wt_change,water_table_zscore,wt_rising_anomaly,source
2-SAN ANTON,normal,2023,10,3.83,-0.674,39.8,-0.197,-0.19,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2023,11,4.1,-0.438,29.1,-0.088,0.11,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2023,12,4.14,-0.406,19.6,-0.171,0.16,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2024,1,4.17,-0.288,21.0,-0.036,0.19,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2024,2,4.17,-0.32,27.8,0.013,0.19,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2024,3,4.08,-0.465,30.5,-0.099,0.09,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2024,4,3.91,-0.584,30.3,-0.22,-0.1,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2024,5,4.03,-0.445,25.2,-0.143,0.03,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2024,6,4.29,-0.178,12.9,-0.024,0.32,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2024,7,4.58,0.094,-2.1,0.069,0.64,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2024,8,4.51,-0.035,6.6,0.044,0.57,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2024,9,3.86,-0.58,38.3,-0.121,-0.16,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2024,10,3.98,-0.553,40.0,-0.074,-0.02,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2024,11,3.87,-0.616,38.9,-0.15,-0.14,0,IGME SINAS Masa 080.006 (synthetic)
2-SAN ANTON,normal,2024,12,4.02,-0.475,22.4,-0.206,0.02,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2022,1,3.51,-0.247,21.5,0.011,-0.54,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2022,2,3.27,-0.556,28.4,-0.215,-0.81,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2022,3,3.37,-0.391,21.2,-0.136,-0.7,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2022,4,3.51,-0.366,25.2,-0.064,-0.54,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2022,5,3.23,-0.564,34.0,-0.156,-0.86,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2022,6,3.82,-0.014,6.5,0.064,-0.2,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2022,7,3.81,-0.097,3.8,-0.052,-0.21,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2022,8,3.66,-0.106,9.0,0.002,-0.38,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2022,9,3.18,-0.662,44.4,-0.129,-0.91,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2022,10,2.99,-0.844,57.4,-0.154,-1.12,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2022,11,2.96,-0.793,42.3,-0.286,-1.16,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2022,12,3.46,-0.393,27.4,-0.064,-0.6,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2023,1,3.79,-0.056,16.2,0.138,-0.23,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2023,2,3.68,-0.131,14.3,0.041,-0.36,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2023,3,3.47,-0.357,24.4,-0.064,-0.59,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2023,4,3.39,-0.431,26.5,-0.113,-0.68,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2023,5,3.41,-0.396,25.1,-0.095,-0.66,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2023,6,3.81,-0.017,-1.2,-0.031,-0.21,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2023,7,3.71,-0.13,6.8,-0.048,-0.32,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2023,8,3.69,-0.187,13.5,-0.025,-0.34,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2023,9,3.22,-0.647,37.8,-0.193,-0.87,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2023,10,2.85,-0.974,62.1,-0.229,-1.28,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2023,11,3.49,-0.393,28.4,-0.052,-0.57,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2023,12,3.44,-0.39,33.1,0.008,-0.62,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2024,1,3.34,-0.418,30.0,-0.058,-0.73,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2024,2,3.39,-0.438,27.2,-0.112,-0.68,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2024,3,3.5,-0.366,23.8,-0.08,-0.56,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2024,4,3.34,-0.505,33.0,-0.109,-0.73,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2024,5,3.3,-0.46,30.1,-0.098,-0.78,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2024,6,3.78,-0.063,11.9,0.079,-0.24,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2024,7,3.7,-0.176,1.8,-0.154,-0.33,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2024,8,3.87,-0.02,2.6,0.011,-0.14,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2024,9,3.28,-0.576,35.2,-0.154,-0.8,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2024,10,3.16,-0.675,46.7,-0.115,-0.93,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2024,11,3.38,-0.524,38.2,-0.066,-0.69,0,IGME SINAS Masa 080.006 (synthetic)
3-CENTRO,turismo,2024,12,3.51,-0.317,21.8,-0.056,-0.54,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2022,1,4.71,-0.302,22.6,-0.031,0.79,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2022,2,4.74,-0.36,24.6,-0.065,0.82,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2022,3,4.67,-0.371,27.5,-0.04,0.74,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2022,4,4.52,-0.505,34.1,-0.096,0.58,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2022,5,4.79,-0.245,17.8,-0.031,0.88,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2022,6,5.15,0.12,1.7,0.141,1.28,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2022,7,4.92,-0.034,-0.8,-0.044,1.02,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2022,8,5.0,-0.026,13.8,0.139,1.11,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2022,9,4.55,-0.506,31.3,-0.131,0.61,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2022,10,4.32,-0.751,50.8,-0.142,0.36,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2022,11,4.58,-0.446,30.0,-0.085,0.64,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2022,12,4.73,-0.32,20.5,-0.074,0.81,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2023,1,4.75,-0.295,22.5,-0.024,0.83,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2023,2,4.78,-0.301,19.2,-0.07,0.87,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2023,3,4.65,-0.374,20.2,-0.131,0.72,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2023,4,4.48,-0.55,28.1,-0.213,0.53,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2023,5,4.6,-0.388,30.9,-0.018,0.67,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2023,6,4.89,-0.074,9.5,0.04,0.99,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2023,7,4.7,-0.202,8.8,-0.096,0.78,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2023,8,4.8,-0.263,14.6,-0.088,0.89,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2023,9,4.38,-0.713,42.9,-0.199,0.42,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2023,10,4.12,-0.855,49.0,-0.267,0.13,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2023,11,4.42,-0.591,36.1,-0.158,0.47,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2023,12,4.63,-0.45,21.7,-0.19,0.7,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2024,1,4.8,-0.232,22.6,0.039,0.89,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2024,2,4.86,-0.207,15.0,-0.027,0.96,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2024,3,4.72,-0.292,18.8,-0.067,0.8,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2024,4,4.43,-0.515,28.0,-0.179,0.48,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2024,5,4.59,-0.45,27.8,-0.117,0.66,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2024,6,5.05,-0.002,3.9,0.045,1.17,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2024,7,4.92,-0.111,11.1,0.023,1.02,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2024,8,4.91,-0.151,4.4,-0.098,1.01,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2024,9,4.36,-0.692,38.1,-0.235,0.4,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2024,10,4.11,-0.903,54.5,-0.249,0.12,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2024,11,4.57,-0.411,32.5,-0.021,0.63,0,IGME SINAS Masa 080.006 (synthetic)
4-MERCADO,normal,2024,12,4.56,-0.442,30.4,-0.077,0.62,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2022,1,4.27,-0.418,21.9,-0.154,0.3,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2022,2,4.6,-0.144,11.3,-0.009,0.67,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2022,3,4.46,-0.31,22.5,-0.04,0.51,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2022,4,4.25,-0.439,32.4,-0.05,0.28,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2022,5,4.63,-0.175,11.1,-0.042,0.7,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2022,6,4.6,-0.171,8.9,-0.064,0.67,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2022,7,4.79,0.075,2.4,0.104,0.88,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2022,8,4.67,-0.1,8.1,-0.004,0.74,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2022,9,4.23,-0.504,34.5,-0.089,0.26,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2022,10,3.94,-0.75,51.4,-0.133,-0.07,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2022,11,4.38,-0.343,27.9,-0.009,0.42,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2022,12,4.51,-0.261,22.3,0.006,0.57,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2023,1,4.42,-0.29,15.1,-0.108,0.47,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2023,2,4.53,-0.283,16.2,-0.089,0.59,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2023,3,4.45,-0.405,26.1,-0.091,0.5,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2023,4,4.5,-0.245,22.5,0.025,0.56,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2023,5,4.43,-0.233,16.4,-0.036,0.48,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2023,6,4.38,-0.234,11.1,-0.101,0.42,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2023,7,4.73,0.029,0.6,0.036,0.81,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2023,8,4.61,-0.237,9.4,-0.124,0.68,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2023,9,4.08,-0.641,42.4,-0.133,0.09,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2023,10,4.14,-0.62,48.7,-0.036,0.16,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2023,11,3.92,-0.716,38.6,-0.253,-0.09,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2023,12,4.04,-0.555,29.5,-0.201,0.04,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2024,1,4.37,-0.362,20.8,-0.112,0.41,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2024,2,4.59,-0.167,15.9,0.024,0.66,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2024,3,4.38,-0.359,17.8,-0.145,0.42,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2024,4,4.5,-0.219,20.8,0.031,0.56,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2024,5,4.42,-0.315,23.0,-0.039,0.47,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2024,6,4.57,-0.222,13.7,-0.058,0.63,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2024,7,4.69,-0.047,6.1,0.026,0.77,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2024,8,4.65,-0.13,12.5,0.019,0.72,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2024,9,4.27,-0.45,30.6,-0.083,0.3,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2024,10,3.88,-0.836,48.0,-0.259,-0.13,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2024,11,4.11,-0.566,35.1,-0.145,0.12,0,IGME SINAS Masa 080.006 (synthetic)
5-CAMPOAMOR,normal,2024,12,4.36,-0.361,23.2,-0.083,0.4,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2022,1,4.52,-0.327,25.0,-0.027,0.58,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2022,2,4.47,-0.26,21.6,-0.001,0.52,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2022,3,4.68,-0.247,17.7,-0.035,0.76,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2022,4,4.73,-0.087,17.4,0.122,0.81,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2022,5,4.44,-0.345,16.2,-0.15,0.49,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2022,6,4.66,-0.199,4.7,-0.142,0.73,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2022,7,4.89,0.066,2.4,0.095,0.99,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2022,8,4.77,-0.1,5.0,-0.04,0.86,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2022,9,4.17,-0.589,43.1,-0.072,0.19,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2022,10,4.02,-0.85,56.5,-0.172,0.02,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2022,11,4.39,-0.46,35.9,-0.029,0.43,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2022,12,4.36,-0.497,27.6,-0.166,0.4,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2023,1,4.61,-0.276,23.5,0.006,0.68,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2023,2,4.62,-0.239,18.8,-0.013,0.69,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2023,3,4.5,-0.367,26.7,-0.047,0.56,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2023,4,4.16,-0.629,34.3,-0.217,0.18,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2023,5,4.59,-0.299,19.3,-0.067,0.66,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2023,6,4.62,-0.208,9.1,-0.099,0.69,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2023,7,4.86,-0.032,4.2,0.019,0.96,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2023,8,4.87,-0.03,1.6,-0.011,0.97,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2023,9,4.21,-0.626,43.3,-0.106,0.23,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2023,10,4.13,-0.73,54.5,-0.075,0.14,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2023,11,4.3,-0.463,33.7,-0.059,0.33,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2023,12,4.69,-0.141,15.7,0.048,0.77,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2024,1,4.45,-0.446,25.1,-0.145,0.5,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2024,2,4.46,-0.415,17.1,-0.21,0.51,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2024,3,4.38,-0.448,28.6,-0.105,0.42,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2024,4,4.39,-0.419,24.3,-0.126,0.43,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2024,5,4.51,-0.361,23.8,-0.076,0.57,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2024,6,4.63,-0.218,8.1,-0.12,0.7,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2024,7,4.79,-0.088,8.0,0.008,0.88,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2024,8,4.69,-0.115,6.2,-0.041,0.77,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2024,9,4.31,-0.561,34.7,-0.144,0.34,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2024,10,4.31,-0.534,45.5,0.011,0.34,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2024,11,4.2,-0.681,42.6,-0.169,0.22,0,IGME SINAS Masa 080.006 (synthetic)
6-LOS ANGELES,normal,2024,12,4.54,-0.367,26.4,-0.051,0.6,0,IGME SINAS Masa 080.006 (synthetic)
