contrato_id,barrio,uso,building_m2,construction_year,age_factor,occupancy_estimate,expected_monthly_L,actual_monthly_L,consumption_efficiency_ratio,pipe_risk_score
CTR-12-00050,12-POLIGONO BABEL,DOMESTICO,75.0,1998,1.04,2.5,9984.0,7573.4,0.777,0.0
CTR-12-00053,12-POLIGONO BABEL,DOMESTICO,81.6,1996,1.04,2.72,10862.6,11789.1,2.325,0.0
CTR-12-00079,12-POLIGONO BABEL,DOMESTICO,80.5,1988,1.08,2.68,11114.5,8951.7,0.85,0.0
CTR-12-00082,12-POLIGONO BABEL,DOMESTICO,69.8,1988,1.08,2.33,9663.0,12142.2,1.261,0.0
CTR-12-00093,12-POLIGONO BABEL,DOMESTICO,58.3,1989,1.08,1.94,8045.6,14194.8,1.35,0.0
CTR-12-00105,12-POLIGONO BABEL,DOMESTICO,74.1,2006,1.0,2.47,9484.8,14250.7,1.35,0.0
CTR-12-00107,12-POLIGONO BABEL,DOMESTICO,75.9,2006,1.0,2.53,9715.2,6572.0,0.604,0.0
CTR-12-00132,12-POLIGONO BABEL,DOMESTICO,77.7,1989,1.08,2.59,10741.2,12305.1,1.091,0.0
CTR-12-00137,12-POLIGONO BABEL,DOMESTICO,73.0,2006,1.0,2.43,9331.2,12959.7,1.35,0.0
CTR-12-00144,12-POLIGONO BABEL,DOMESTICO,82.9,2002,1.0,2.76,10598.4,8920.3,2.627,0.0
CTR-12-00151,12-POLIGONO BABEL,DOMESTICO,68.7,1980,1.08,2.29,9497.1,12537.4,1.264,0.6
CTR-12-00152,12-POLIGONO BABEL,NO DOMESTICO,129.1,1994,1.04,4.3,17172.5,19730.8,1.157,0.0
CTR-12-00183,12-POLIGONO BABEL,COMERCIAL,122.8,2002,1.0,4.09,15705.6,22399.7,1.35,0.0
CTR-12-00192,12-POLIGONO BABEL,DOMESTICO,61.8,1975,1.15,2.06,9097.0,11422.5,1.241,0.6
CTR-13-00007,13-SAN GABRIEL,COMERCIAL,183.3,1987,1.08,6.11,25339.4,22080.2,0.773,0.0
CTR-13-00029,13-SAN GABRIEL,DOMESTICO,71.0,1982,1.08,2.37,9828.9,6790.6,0.688,0.6
CTR-13-00042,13-SAN GABRIEL,DOMESTICO,58.6,2007,1.0,1.95,7488.0,9417.7,2.204,0.0
CTR-13-00083,13-SAN GABRIEL,DOMESTICO,60.0,1989,1.08,2.0,8294.4,10741.2,1.239,0.0
CTR-13-00166,13-SAN GABRIEL,DOMESTICO,76.1,1998,1.04,2.54,10143.7,13004.3,1.255,0.0
CTR-13-00167,13-SAN GABRIEL,DOMESTICO,62.6,1986,1.08,2.09,8667.6,14081.3,1.35,0.0
CTR-13-00175,13-SAN GABRIEL,COMERCIAL,112.0,1991,1.04,3.73,14896.1,22308.6,1.35,0.0
CTR-14-00022,14-ENSANCHE DIPUTACION,DOMESTICO,56.5,2002,1.0,1.88,7219.2,11088.3,1.35,0.0
CTR-14-00031,14-ENSANCHE DIPUTACION,DOMESTICO,74.0,2007,1.0,2.47,9484.8,13099.4,1.35,0.0
CTR-14-00054,14-ENSANCHE DIPUTACION,NO DOMESTICO,138.5,2000,1.0,4.62,17740.8,15922.5,0.846,0.0
CTR-14-00056,14-ENSANCHE DIPUTACION,DOMESTICO,57.4,1978,1.15,1.91,8434.6,14264.7,1.35,0.6
CTR-14-00059,14-ENSANCHE DIPUTACION,DOMESTICO,76.8,1991,1.04,2.56,10223.6,6481.4,0.608,0.0
CTR-14-00064,14-ENSANCHE DIPUTACION,NO DOMESTICO,102.8,2008,1.0,3.43,13171.2,12561.0,0.961,0.0
CTR-14-00069,14-ENSANCHE DIPUTACION,NO DOMESTICO,123.3,1990,1.04,4.11,16413.7,11798.8,0.683,0.0
CTR-14-00089,14-ENSANCHE DIPUTACION,NO DOMESTICO,109.1,1980,1.08,3.64,15095.8,13349.3,0.956,0.6
CTR-14-00096,14-ENSANCHE DIPUTACION,COMERCIAL,82.0,2010,1.0,2.73,10483.2,15816.8,1.35,0.0
CTR-14-00127,14-ENSANCHE DIPUTACION,DOMESTICO,65.5,1993,1.04,2.18,8706.0,14453.7,1.35,0.0
CTR-14-00161,14-ENSANCHE DIPUTACION,DOMESTICO,66.9,2007,1.0,2.23,8563.2,19074.4,1.711,0.0
CTR-14-00168,14-ENSANCHE DIPUTACION,DOMESTICO,75.3,1975,1.15,2.51,11084.2,6438.7,0.628,0.6
CTR-14-00191,14-ENSANCHE DIPUTACION,DOMESTICO,71.2,1997,1.04,2.37,9464.8,9810.0,1.076,0.0
CTR-14-00194,14-ENSANCHE DIPUTACION,DOMESTICO,74.8,1981,1.08,2.49,10326.5,8263.1,0.864,0.6
CTR-15-00005,15-POLIGONO SAN BLAS,COMERCIAL,199.6,1976,1.15,6.65,29366.4,19112.3,0.744,0.6
CTR-15-00040,15-POLIGONO SAN BLAS,DOMESTICO,82.0,1979,1.15,2.73,12055.7,8686.3,0.747,0.6
CTR-15-00060,15-POLIGONO SAN BLAS,NO DOMESTICO,66.8,1983,1.08,2.23,9248.3,11373.7,1.27,0.6
CTR-15-00067,15-POLIGONO SAN BLAS,DOMESTICO,81.9,1990,1.04,2.73,10902.5,14494.6,1.35,0.0
CTR-15-00074,15-POLIGONO SAN BLAS,DOMESTICO,74.3,2007,1.0,2.48,9523.2,7191.0,0.672,0.0
CTR-15-00104,15-POLIGONO SAN BLAS,COMERCIAL,174.2,1982,1.08,5.81,24095.2,16998.3,0.739,0.6
CTR-15-00111,15-POLIGONO SAN BLAS,NO DOMESTICO,76.3,2009,1.0,2.54,9753.6,20669.4,1.35,0.0
CTR-15-00198,15-POLIGONO SAN BLAS,DOMESTICO,55.2,1999,1.04,1.84,7348.2,11658.3,1.35,0.0
CTR-16-00006,16-PLA DEL BON REPOS,DOMESTICO,69.6,1992,1.04,2.32,9265.2,6877.3,0.732,0.0
CTR-16-00017,16-PLA DEL BON REPOS,DOMESTICO,76.4,2010,1.0,2.55,9792.0,13377.2,1.314,0.0
CTR-16-00018,16-PLA DEL BON REPOS,DOMESTICO,60.4,1995,1.04,2.01,8027.1,8815.9,1.072,0.0
CTR-16-00024,16-PLA DEL BON REPOS,DOMESTICO,80.5,1982,1.08,2.68,11114.5,11147.2,1.034,0.6
CTR-16-00045,16-PLA DEL BON REPOS,DOMESTICO,71.3,2007,1.0,2.38,9139.2,7839.0,0.859,0.0
CTR-16-00046,16-PLA DEL BON REPOS,COMERCIAL,111.8,1996,1.04,3.73,14896.1,23717.9,1.35,0.0
CTR-16-00115,16-PLA DEL BON REPOS,DOMESTICO,73.9,1982,1.08,2.46,10202.1,7223.6,0.767,0.6
CTR-16-00123,16-PLA DEL BON REPOS,DOMESTICO,74.4,2004,1.0,2.48,9523.2,7489.3,0.82,0.0
CTR-16-00124,16-PLA DEL BON REPOS,DOMESTICO,60.9,2007,1.0,2.03,7795.2,8296.2,1.109,0.0
CTR-16-00147,16-PLA DEL BON REPOS,DOMESTICO,72.2,1993,1.04,2.41,9624.6,13971.8,1.35,0.0
CTR-16-00159,16-PLA DEL BON REPOS,DOMESTICO,84.8,1991,1.04,2.83,11301.9,10086.2,0.886,0.0
CTR-16-00174,16-PLA DEL BON REPOS,DOMESTICO,66.1,1980,1.08,2.2,9123.8,11108.4,1.914,0.6
CTR-16-00189,16-PLA DEL BON REPOS,DOMESTICO,64.9,1998,1.04,2.16,8626.2,8707.3,1.02,0.0
CTR-16-00193,16-PLA DEL BON REPOS,DOMESTICO,83.9,2005,1.0,2.8,10752.0,6659.8,0.69,0.0
CTR-16-00195,16-PLA DEL BON REPOS,DOMESTICO,60.7,1995,1.04,2.02,8067.1,11169.0,1.338,0.0
CTR-17-00002,17-CAROLINAS ALTAS,COMERCIAL,88.6,1964,1.2,2.95,13593.6,24495.0,1.35,0.9
CTR-17-00004,17-CAROLINAS ALTAS,NO DOMESTICO,86.3,1964,1.2,2.88,13271.0,17880.7,1.267,0.9
CTR-17-00051,17-CAROLINAS ALTAS,DOMESTICO,74.7,1976,1.15,2.49,10995.8,11237.8,0.95,0.6
CTR-17-00057,17-CAROLINAS ALTAS,DOMESTICO,71.7,1971,1.15,2.39,10554.2,10332.1,1.027,0.9
CTR-17-00070,17-CAROLINAS ALTAS,DOMESTICO,51.7,1962,1.2,1.72,7925.8,16119.3,2.538,0.9
CTR-17-00125,17-CAROLINAS ALTAS,DOMESTICO,55.9,1968,1.2,1.86,8570.9,9452.3,1.165,0.9
CTR-17-00130,17-CAROLINAS ALTAS,COMERCIAL,98.2,1964,1.2,3.27,15068.2,20732.1,1.35,0.9
CTR-17-00140,17-CAROLINAS ALTAS,DOMESTICO,61.5,1968,1.2,2.05,9446.4,11146.1,1.24,0.9
CTR-17-00143,17-CAROLINAS ALTAS,DOMESTICO,49.9,1962,1.2,1.66,7649.3,11487.5,1.35,0.9
CTR-18-00026,18-CAROLINAS BAJAS,DOMESTICO,81.7,1988,1.08,2.72,11280.4,8930.9,0.759,0.0
CTR-18-00027,18-CAROLINAS BAJAS,DOMESTICO,72.4,2002,1.0,2.41,9254.4,10144.6,1.084,0.0
CTR-18-00049,18-CAROLINAS BAJAS,DOMESTICO,64.8,1996,1.04,2.16,8626.2,6706.1,0.708,0.0
CTR-18-00066,18-CAROLINAS BAJAS,COMERCIAL,150.9,1996,1.04,5.03,20087.8,25098.1,1.156,0.0
CTR-18-00106,18-CAROLINAS BAJAS,DOMESTICO,64.1,1980,1.08,2.14,8875.0,7684.2,0.873,0.6
CTR-18-00112,18-CAROLINAS BAJAS,DOMESTICO,79.8,2007,1.0,2.66,10214.4,11172.5,1.563,0.0
CTR-18-00153,18-CAROLINAS BAJAS,DOMESTICO,68.7,1979,1.15,2.29,10112.6,9562.1,1.014,0.6
CTR-18-00185,18-CAROLINAS BAJAS,DOMESTICO,70.9,2006,1.0,2.36,9062.4,14040.8,1.724,0.0
CTR-18-00186,18-CAROLINAS BAJAS,DOMESTICO,84.3,1990,1.04,2.81,11222.0,14352.0,1.282,0.0
CTR-18-00196,18-CAROLINAS BAJAS,DOMESTICO,56.2,2004,1.0,1.87,7180.8,11974.0,1.35,0.0
CTR-18-00199,18-CAROLINAS BAJAS,DOMESTICO,68.2,1993,1.04,2.27,9065.5,10727.0,1.099,0.0
CTR-19-00033,19-GARBINET,DOMESTICO,83.9,2000,1.0,2.8,10752.0,6473.0,0.669,0.0
CTR-19-00039,19-GARBINET,DOMESTICO,75.7,1983,1.08,2.52,10450.9,14393.8,1.289,0.6
CTR-19-00062,19-GARBINET,DOMESTICO,68.3,1975,1.15,2.28,10068.5,11940.2,1.134,0.6
CTR-19-00068,19-GARBINET,DOMESTICO,74.8,1999,1.04,2.49,9944.1,10046.1,1.568,0.0
CTR-19-00075,19-GARBINET,COMERCIAL,142.0,1990,1.04,4.73,18889.7,16331.6,0.896,0.0
CTR-19-00101,19-GARBINET,DOMESTICO,73.4,1979,1.15,2.45,10819.2,8342.3,0.755,0.6
CTR-19-00120,19-GARBINET,DOMESTICO,72.0,1986,1.08,2.4,9953.3,10895.0,1.026,0.0
CTR-19-00131,19-GARBINET,DOMESTICO,55.4,1996,1.04,1.85,7388.2,8826.5,1.118,0.0
CTR-19-00135,19-GARBINET,DOMESTICO,57.8,1979,1.15,1.93,8522.9,14413.4,1.35,0.6
CTR-19-00141,19-GARBINET,DOMESTICO,69.2,1979,1.15,2.31,10201.0,10348.9,0.934,0.6
CTR-19-00154,19-GARBINET,COMERCIAL,136.8,1995,1.04,4.56,18210.8,30437.9,1.504,0.0
CTR-19-00157,19-GARBINET,DOMESTICO,74.5,2004,1.0,2.48,9523.2,6477.5,0.59,0.0
CTR-19-00165,19-GARBINET,NO DOMESTICO,128.5,1979,1.15,4.28,18900.5,11506.6,2.135,0.6
CTR-19-00169,19-GARBINET,DOMESTICO,73.8,1984,1.08,2.46,10202.1,11513.4,1.129,0.6
CTR-20-00025,20-BENALUA,COMERCIAL,144.7,1975,1.15,4.82,21285.1,21996.0,1.07,0.6
CTR-20-00038,20-BENALUA,DOMESTICO,57.1,1990,1.04,1.9,7587.8,7114.3,0.966,0.0
CTR-20-00043,20-BENALUA,DOMESTICO,72.6,2002,1.0,2.42,9292.8,13917.2,1.35,0.0
CTR-20-00063,20-BENALUA,COMERCIAL,161.3,1998,1.04,5.38,21485.6,24286.4,1.145,0.0
CTR-20-00085,20-BENALUA,COMERCIAL,135.0,2007,1.0,4.5,17280.0,23697.3,1.35,0.0
CTR-20-00092,20-BENALUA,DOMESTICO,66.6,1986,1.08,2.22,9206.8,14533.5,1.35,0.0
CTR-20-00108,20-BENALUA,DOMESTICO,61.2,1984,1.08,2.04,8460.3,9878.7,1.564,0.6
CTR-20-00128,20-BENALUA,DOMESTICO,58.0,1986,1.08,1.93,8004.1,9084.4,1.039,0.0
CTR-20-00136,20-BENALUA,NO DOMESTICO,72.7,2009,1.0,2.42,9292.8,19958.1,1.35,0.0
CTR-20-00142,20-BENALUA,COMERCIAL,181.4,2003,1.0,6.05,23232.0,24948.2,0.979,0.0
CTR-20-00146,20-BENALUA,COMERCIAL,111.3,2008,1.0,3.71,14246.4,23880.6,2.346,0.0
CTR-20-00179,20-BENALUA,DOMESTICO,81.3,1985,1.08,2.71,11238.9,11590.5,1.078,0.0
CTR-20-00187,20-BENALUA,DOMESTICO,84.0,1995,1.04,2.8,11182.1,10670.3,0.964,0.0
CTR-20-00188,20-BENALUA,DOMESTICO,72.1,1983,1.08,2.4,9953.3,8482.5,2.418,0.6
CTR-20-00197,20-BENALUA,DOMESTICO,67.4,2009,1.0,2.25,8640.0,12945.0,1.35,0.0
CTR-21-00001,21-ALIPARK,DOMESTICO,65.2,2006,1.0,2.17,8332.8,7192.6,0.949,0.0
CTR-21-00009,21-ALIPARK,NO DOMESTICO,82.0,1986,1.08,2.73,11321.9,19670.9,1.35,0.0
CTR-21-00010,21-ALIPARK,DOMESTICO,62.1,1999,1.04,2.07,8266.8,6790.0,0.797,0.0
CTR-21-00013,21-ALIPARK,DOMESTICO,79.8,1994,1.04,2.66,10623.0,12568.9,2.188,0.0
CTR-21-00014,21-ALIPARK,DOMESTICO,66.7,1993,1.04,2.22,8865.8,10478.3,1.084,0.0
CTR-21-00023,21-ALIPARK,DOMESTICO,57.7,1993,1.04,1.92,7667.7,7288.4,0.914,0.0
CTR-21-00052,21-ALIPARK,NO DOMESTICO,107.2,1988,1.08,3.57,14805.5,17018.1,1.146,0.0
CTR-21-00078,21-ALIPARK,DOMESTICO,68.5,1990,1.04,2.28,9105.4,13717.9,1.35,0.0
CTR-21-00081,21-ALIPARK,DOMESTICO,71.6,1999,1.04,2.39,9544.7,6401.0,0.613,0.0
CTR-21-00087,21-ALIPARK,NO DOMESTICO,117.8,1997,1.04,3.93,15694.8,14749.8,0.862,0.0
CTR-21-00094,21-ALIPARK,DOMESTICO,71.5,1988,1.08,2.38,9870.3,13101.8,1.316,0.0
CTR-21-00103,21-ALIPARK,DOMESTICO,71.4,1997,1.04,2.38,9504.8,13964.4,2.535,0.0
CTR-21-00121,21-ALIPARK,DOMESTICO,75.6,1986,1.08,2.52,10450.9,13650.5,1.35,0.0
CTR-21-00126,21-ALIPARK,DOMESTICO,58.0,1991,1.04,1.93,7707.6,12134.4,1.35,0.0
CTR-21-00133,21-ALIPARK,NO DOMESTICO,61.1,1987,1.08,2.04,8460.3,11273.7,1.312,0.0
CTR-21-00139,21-ALIPARK,DOMESTICO,76.2,2001,1.0,2.54,9753.6,7160.2,0.65,0.0
CTR-21-00149,21-ALIPARK,DOMESTICO,72.4,1993,1.04,2.41,9624.6,7698.4,0.872,0.0
CTR-21-00182,21-ALIPARK,NO DOMESTICO,121.0,1996,1.04,4.03,16094.2,15570.6,1.057,0.0
CTR-22-00019,22-ALTOZANO,DOMESTICO,72.8,1999,1.04,2.43,9704.4,7488.1,0.742,0.0
CTR-22-00020,22-ALTOZANO,DOMESTICO,69.5,2005,1.0,2.32,8908.8,13088.3,1.35,0.0
CTR-22-00030,22-ALTOZANO,DOMESTICO,62.5,2001,1.0,2.08,7987.2,11933.6,1.35,0.0
CTR-22-00047,22-ALTOZANO,DOMESTICO,62.6,1977,1.15,2.09,9229.4,11600.5,1.238,0.6
CTR-22-00058,22-ALTOZANO,DOMESTICO,58.6,1994,1.04,1.95,7787.5,10706.6,1.298,0.0
CTR-22-00061,22-ALTOZANO,DOMESTICO,75.4,1975,1.15,2.51,11084.2,7275.9,0.604,0.6
CTR-22-00072,22-ALTOZANO,NO DOMESTICO,126.7,1999,1.04,4.22,16853.0,16300.1,0.912,0.0
CTR-22-00095,22-ALTOZANO,DOMESTICO,79.1,1980,1.08,2.64,10948.6,7292.7,0.762,0.6
CTR-22-00097,22-ALTOZANO,DOMESTICO,56.3,1995,1.04,1.88,7508.0,11497.4,1.35,0.0
CTR-22-00110,22-ALTOZANO,DOMESTICO,71.6,2010,1.0,2.39,9177.6,10696.1,1.259,0.0
CTR-22-00117,22-ALTOZANO,DOMESTICO,60.0,1992,1.04,2.0,7987.2,14224.9,2.095,0.0
CTR-22-00118,22-ALTOZANO,NO DOMESTICO,84.6,1989,1.08,2.82,11695.1,19875.0,1.35,0.0
CTR-22-00122,22-ALTOZANO,DOMESTICO,82.0,1977,1.15,2.73,12055.7,11752.4,0.884,0.6
CTR-22-00148,22-ALTOZANO,DOMESTICO,83.8,1986,1.08,2.79,11570.7,9536.2,0.736,0.0
CTR-22-00171,22-ALTOZANO,DOMESTICO,58.2,1986,1.08,1.94,8045.6,13244.2,1.35,0.0
CTR-22-00177,22-ALTOZANO,DOMESTICO,74.4,2002,1.0,2.48,9523.2,8637.2,0.885,0.0
CTR-23-00012,23-CENTRO TRADICIONAL,NO DOMESTICO,84.1,2007,1.0,2.8,10752.0,13950.5,1.27,0.0
CTR-23-00041,23-CENTRO TRADICIONAL,NO DOMESTICO,207.6,1993,1.04,6.92,27635.7,19722.4,0.753,0.0
CTR-23-00073,23-CENTRO TRADICIONAL,DOMESTICO,64.8,2006,1.0,2.16,8294.4,12796.8,1.35,0.0
CTR-23-00084,23-CENTRO TRADICIONAL,DOMESTICO,79.0,2002,1.0,2.63,10099.2,8051.0,0.73,0.0
CTR-23-00091,23-CENTRO TRADICIONAL,DOMESTICO,57.7,2003,1.0,1.92,7372.8,7277.9,1.075,0.0
CTR-23-00098,23-CENTRO TRADICIONAL,DOMESTICO,80.4,2008,1.0,2.68,10291.2,10387.0,2.452,0.0
CTR-23-00099,23-CENTRO TRADICIONAL,DOMESTICO,57.9,1991,1.04,1.93,7707.6,10056.7,1.35,0.0
CTR-23-00119,23-CENTRO TRADICIONAL,COMERCIAL,133.0,2002,1.0,4.43,17011.2,22451.0,1.302,0.0
CTR-23-00129,23-CENTRO TRADICIONAL,DOMESTICO,83.4,2011,1.0,2.78,10675.2,15113.0,1.992,0.0
CTR-23-00145,23-CENTRO TRADICIONAL,DOMESTICO,68.2,2006,1.0,2.27,8716.8,11922.9,1.35,0.0
CTR-23-00156,23-CENTRO TRADICIONAL,DOMESTICO,88.9,2014,1.0,2.96,11366.4,11412.1,1.072,0.0
CTR-23-00163,23-CENTRO TRADICIONAL,DOMESTICO,57.2,2002,1.0,1.91,7334.4,14765.6,1.35,0.0
CTR-23-00173,23-CENTRO TRADICIONAL,COMERCIAL,102.7,1990,1.04,3.42,13658.1,12713.4,0.846,0.0
CTR-23-00184,23-CENTRO TRADICIONAL,DOMESTICO,73.7,2006,1.0,2.46,9446.4,14247.0,1.35,0.0
CTR-24-00003,24-CASCO ANTIGUO,DOMESTICO,71.7,1977,1.15,2.39,10554.2,10188.8,1.019,0.6
CTR-24-00016,24-CASCO ANTIGUO,COMERCIAL,182.0,1984,1.08,6.07,25173.5,23487.3,0.882,0.6
CTR-24-00028,24-CASCO ANTIGUO,DOMESTICO,61.2,1988,1.08,2.04,8460.3,13528.7,1.35,0.0
CTR-24-00032,24-CASCO ANTIGUO,DOMESTICO,61.2,1987,1.08,2.04,8460.3,13233.9,1.35,0.0
CTR-24-00036,24-CASCO ANTIGUO,DOMESTICO,56.4,2006,1.0,1.88,7219.2,10101.2,1.35,0.0
CTR-24-00077,24-CASCO ANTIGUO,COMERCIAL,139.8,2000,1.0,4.66,17894.4,15291.7,2.329,0.0
CTR-24-00080,24-CASCO ANTIGUO,NO DOMESTICO,91.3,1977,1.15,3.04,13424.6,16189.7,1.276,0.6
CTR-24-00088,24-CASCO ANTIGUO,DOMESTICO,57.7,1979,1.15,1.92,8478.7,11973.8,1.35,0.6
CTR-24-00090,24-CASCO ANTIGUO,DOMESTICO,59.0,1991,1.04,1.97,7867.4,11031.4,1.308,0.0
CTR-24-00102,24-CASCO ANTIGUO,COMERCIAL,174.2,1989,1.08,5.81,24095.2,21230.4,1.784,0.0
CTR-24-00114,24-CASCO ANTIGUO,DOMESTICO,61.4,1985,1.08,2.05,8501.8,9544.9,1.05,0.0
CTR-24-00134,24-CASCO ANTIGUO,DOMESTICO,65.5,2008,1.0,2.18,8371.2,12457.9,1.35,0.0
CTR-24-00138,24-CASCO ANTIGUO,NO DOMESTICO,94.8,2004,1.0,3.16,12134.4,12897.2,0.981,0.0
CTR-24-00150,24-CASCO ANTIGUO,NO DOMESTICO,73.8,2008,1.0,2.46,9446.4,15301.4,1.35,0.0
CTR-24-00155,24-CASCO ANTIGUO,DOMESTICO,82.3,1998,1.04,2.74,10942.5,13541.1,1.197,0.0
CTR-24-00170,24-CASCO ANTIGUO,DOMESTICO,83.5,1991,1.04,2.78,11102.2,13559.2,1.151,0.0
CTR-24-00172,24-CASCO ANTIGUO,COMERCIAL,139.1,1991,1.04,4.64,18530.3,23306.0,1.209,0.0
