barrio,tipo_anomalia,year,month,lst_mean_c,lst_coldspot_delta_c,lst_neighbor_delta_c,thermal_coldspot_zscore,thermal_neighbor_zscore,cloud_cover_pct,n_valid_pixels,thermal_leak_flag,source
2-SAN ANTON,normal,2023,2,15.3,-0.9,0.24,0.27,0.24,19.2,105,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2023,3,17.9,-0.85,0.8,0.32,0.8,16.1,176,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2023,4,19.9,-2.09,-0.98,-0.81,-0.98,30.5,105,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2023,5,26.7,-1.74,-0.05,-0.5,-0.05,27.3,194,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2023,6,31.8,-0.68,-0.94,0.47,-0.94,15.2,96,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2023,7,41.0,-0.93,0.66,0.25,0.66,30.6,192,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2023,8,39.2,-1.16,1.09,0.04,1.09,11.4,108,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2023,9,30.1,-1.1,0.58,0.09,0.58,11.0,86,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2023,10,23.4,-1.02,-0.26,0.16,-0.26,12.4,131,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2023,11,19.2,-0.85,-0.09,0.32,-0.09,28.4,166,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2023,12,16.6,-0.61,1.35,0.53,1.35,25.6,112,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2024,1,14.3,-0.55,-0.41,0.59,-0.41,8.7,137,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2024,2,14.4,-1.14,0.31,0.06,0.31,29.5,90,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2024,3,17.5,-1.65,-0.78,-0.41,-0.78,33.6,173,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2024,4,22.1,-0.57,-0.51,0.58,-0.51,22.8,145,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2024,5,26.0,-0.84,-0.29,0.33,-0.29,20.4,184,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2024,6,32.7,-0.75,-0.26,0.41,-0.26,17.9,214,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2024,7,38.5,-1.09,1.25,0.1,1.25,22.4,228,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2024,8,37.3,-1.6,-1.17,-0.36,-1.17,32.0,132,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2024,9,31.2,-0.52,0.18,0.61,0.18,23.8,215,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2024,10,25.2,-1.25,0.16,-0.05,0.16,21.1,163,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2024,11,18.2,-1.62,0.57,-0.38,0.57,33.3,150,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
2-SAN ANTON,normal,2024,12,11.9,-1.73,-0.49,-0.48,-0.49,21.0,180,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2022,1,13.8,-0.83,1.54,0.33,1.54,32.1,213,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2022,2,15.5,-1.09,-0.32,0.1,-0.32,27.1,218,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2022,3,16.2,-1.35,0.15,-0.14,0.15,26.2,167,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2022,4,18.8,-1.64,0.68,-0.4,0.68,26.5,232,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2022,5,28.0,-1.0,1.53,0.18,1.53,26.8,155,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2022,6,31.4,-2.0,0.89,-0.73,0.89,27.2,83,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2022,7,38.4,-2.15,0.78,-0.87,0.78,17.4,217,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2022,8,37.8,-1.0,0.16,0.18,0.16,21.0,158,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2022,9,30.1,0.08,0.62,1.17,0.62,25.3,135,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2022,10,23.5,-0.38,0.64,0.74,0.64,24.8,124,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2022,11,20.1,-0.23,0.2,0.88,0.2,6.8,140,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2022,12,16.8,-1.38,-0.0,-0.16,-0.0,28.9,102,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2023,1,14.6,-0.73,0.62,0.42,0.62,12.2,207,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2023,2,18.2,-1.83,0.58,-0.58,0.58,30.8,233,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2023,3,17.1,-1.3,0.57,-0.09,0.57,23.4,212,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2023,4,21.0,-1.16,0.48,0.04,0.48,18.6,82,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2023,5,28.2,-0.89,-0.14,0.28,-0.14,25.0,108,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2023,6,33.3,-2.44,-0.13,-1.13,-0.13,13.1,113,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2023,7,38.7,-0.54,0.33,0.6,0.33,33.8,158,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2023,8,37.9,-0.67,0.2,0.48,0.2,9.6,226,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2023,9,31.0,-0.55,0.7,0.59,0.7,5.5,215,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2023,10,23.3,-0.95,1.08,0.23,1.08,24.3,201,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2023,11,18.6,-1.38,0.56,-0.17,0.56,22.2,147,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2023,12,13.4,-0.95,-0.12,0.22,-0.12,18.2,212,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2024,1,15.7,-1.42,0.56,-0.2,0.56,21.8,248,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2024,2,18.2,-0.95,0.21,0.22,0.21,28.6,95,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2024,3,19.4,-1.28,1.06,-0.07,1.06,20.3,223,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2024,4,21.7,-0.97,0.62,0.21,0.62,13.1,138,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2024,5,24.9,-0.65,0.73,0.5,0.73,32.8,214,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2024,6,31.7,-1.32,0.96,-0.11,0.96,34.6,145,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2024,7,39.7,-1.23,0.0,-0.03,0.0,16.1,190,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2024,8,40.1,-0.7,0.66,0.46,0.66,5.3,165,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2024,9,32.3,-1.93,0.35,-0.67,0.35,30.3,117,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2024,10,24.0,-0.91,0.28,0.27,0.28,6.1,214,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2024,11,17.7,-0.89,1.52,0.28,1.52,17.5,94,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
3-CENTRO,turismo,2024,12,14.3,-1.1,0.22,0.09,0.22,26.9,128,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2022,1,12.6,-1.88,1.0,-0.62,1.0,23.4,139,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2022,2,13.5,-1.3,-0.47,-0.09,-0.47,30.1,243,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2022,3,17.8,-0.99,-0.19,0.19,-0.19,12.8,230,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2022,4,20.8,-2.24,-0.18,-0.95,-0.18,33.9,237,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2022,5,26.4,-1.07,1.08,0.12,1.08,29.7,200,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2022,6,32.0,-1.17,1.24,0.02,1.24,20.9,80,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2022,7,39.8,-1.15,0.75,0.05,0.75,13.5,233,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2022,8,38.9,-1.06,1.15,0.13,1.15,27.1,244,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2022,9,32.5,-0.71,-1.18,0.45,-1.18,13.0,193,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2022,10,22.5,-0.82,-0.44,0.34,-0.44,19.2,234,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2022,11,16.5,-1.87,-0.6,-0.61,-0.6,5.4,88,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2022,12,17.3,-1.17,0.41,0.03,0.41,6.4,205,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2023,1,14.0,-1.06,0.49,0.13,0.49,16.9,199,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2023,2,14.9,-0.87,0.01,0.3,0.01,27.3,166,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2023,3,19.3,-2.05,-1.51,-0.78,-1.51,21.9,91,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2023,4,19.3,-1.51,0.41,-0.28,0.41,23.0,124,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2023,5,27.1,-0.95,-0.17,0.23,-0.17,28.7,185,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2023,6,32.1,-0.91,-0.31,0.26,-0.31,26.3,113,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2023,7,39.7,-1.75,0.21,-0.5,0.21,13.1,180,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2023,8,38.4,-1.31,-1.25,-0.1,-1.25,30.5,120,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2023,9,30.3,-1.54,0.34,-0.31,0.34,12.6,162,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2023,10,25.8,-1.75,-1.41,-0.5,-1.41,6.7,210,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2023,11,19.4,-1.56,1.3,-0.33,1.3,14.7,160,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2023,12,13.7,-1.62,0.38,-0.38,0.38,13.1,243,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2024,1,12.4,-1.62,-0.2,-0.38,-0.2,12.6,171,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2024,2,14.8,-1.11,0.77,0.09,0.77,5.0,202,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2024,3,18.5,-1.56,0.37,-0.32,0.37,20.0,241,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2024,4,21.8,-1.09,0.35,0.1,0.35,21.6,248,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2024,5,25.4,-1.6,0.77,-0.36,0.77,7.3,137,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2024,6,31.7,-0.72,0.25,0.44,0.25,21.9,87,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2024,7,39.7,-0.67,-0.1,0.48,-0.1,25.6,152,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2024,8,40.0,-0.84,1.45,0.33,1.45,34.0,234,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2024,9,31.6,-1.76,-0.01,-0.51,-0.01,23.0,166,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2024,10,25.5,-1.25,0.81,-0.05,0.81,25.2,103,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2024,11,18.8,-1.57,-0.76,-0.33,-0.76,11.7,157,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
4-MERCADO,normal,2024,12,16.7,-1.78,-0.28,-0.53,-0.28,20.1,89,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2022,1,15.7,-0.63,-0.48,0.52,-0.48,17.4,216,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2022,2,16.2,-1.32,0.76,-0.11,0.76,26.3,110,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2022,3,17.0,-1.48,-0.63,-0.25,-0.63,31.2,91,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2022,4,22.1,-1.46,0.12,-0.23,0.12,34.9,244,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2022,5,26.2,-2.4,0.03,-1.09,0.03,34.5,226,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2022,6,32.9,-1.23,0.55,-0.03,0.55,28.2,148,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2022,7,38.8,-0.54,0.13,0.6,0.13,24.1,160,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2022,8,40.0,-0.81,-0.83,0.36,-0.83,32.7,246,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2022,9,30.3,-2.89,0.61,-1.54,0.61,14.1,117,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2022,10,24.0,-1.56,-1.72,-0.33,-1.72,31.9,228,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2022,11,18.8,-1.64,-0.57,-0.4,-0.57,33.8,80,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2022,12,14.9,-0.37,-0.53,0.76,-0.53,18.2,211,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2023,1,14.0,-1.37,0.56,-0.16,0.56,27.2,122,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2023,2,16.8,-1.44,0.81,-0.22,0.81,19.9,235,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2023,3,19.1,-0.28,-0.28,0.83,-0.28,28.8,84,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2023,4,23.4,-0.53,-0.51,0.61,-0.51,22.2,158,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2023,5,25.2,-1.75,0.14,-0.5,0.14,28.5,180,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2023,6,30.8,-1.9,-1.69,-0.63,-1.69,13.6,212,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2023,7,40.9,-0.56,-1.53,0.58,-1.53,16.0,217,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2023,8,39.3,-1.47,-0.14,-0.24,-0.14,24.7,94,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2023,9,30.5,-1.63,1.64,-0.39,1.64,23.6,201,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2023,10,26.7,-1.49,-0.25,-0.26,-0.25,19.2,245,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2023,11,19.6,-1.52,0.34,-0.29,0.34,25.4,184,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2023,12,13.7,-2.23,-0.83,-0.94,-0.83,29.7,236,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2024,1,11.8,-1.87,0.22,-0.61,0.22,6.5,172,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2024,2,13.9,-0.89,0.22,0.28,0.22,21.1,175,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2024,3,17.2,-1.11,0.87,0.08,0.87,27.7,135,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2024,4,23.4,-2.04,-1.33,-0.76,-1.33,9.3,223,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2024,5,25.7,-1.73,0.24,-0.48,0.24,26.1,228,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2024,6,32.1,-1.38,-1.09,-0.17,-1.09,25.1,214,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2024,7,37.7,-1.56,0.94,-0.33,0.94,33.3,143,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2024,8,39.1,-1.49,2.1,-0.27,2.1,34.5,104,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2024,9,31.7,-0.5,-0.71,0.64,-0.71,31.1,202,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2024,10,24.8,-1.11,-1.09,0.08,-1.09,6.4,202,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
5-CAMPOAMOR,normal,2024,11,20.9,-1.3,0.04,-0.09,0.04,10.3,153,0,Landsat 8/9 Band10 + ECOSTRESS (synthetic)
