EXPLOTACION,AÑO,MES,MOTIVO,TIPO CLIENTE,USO,ACTIVIDAD,CANTIDAD
ALICANTE,2.020,2,Procede de baja,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,13
ALICANTE,2.020,2,Procede de baja,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,2
ALICANTE,2.020,2,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS,57
ALICANTE,2.020,3,Alta nueva,Particular,COMUNIDAD PROPIETARIOS,COM. PROPIETARIOS(LIMPIEZA),1
ALICANTE,2.020,3,Alta nueva,Particular,NO DOMÉSTICO,OBRAS,5
ALICANTE,2.020,3,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,33
ALICANTE,2.020,3,Alta nueva,Particular,SERV. CONTRAINCENDIOS,BOCA INCENDIO EXTERNA,1
ALICANTE,2.020,3,Alta nueva,Particular,NO DOMÉSTICO,ALMACENES Y NAVES DE MERCANCIAS,1
ALICANTE,2.020,3,Alta nueva,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,1
ALICANTE,2.020,3,Alta nueva,Oficial,NO DOMÉSTICO,"HOSPITALES, CENTROS DE SALUD Y OTROS",1
ALICANTE,2.020,3,Alta nueva,Particular,DOMÉSTICO,COM. PROPIETARIOS(LIMPIEZA),5
ALICANTE,2.020,3,Cambio titular,Particular,DOMÉSTICO,VIVIENDAS,13
ALICANTE,2.020,3,Cambio titular,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,2
ALICANTE,2.020,3,Cambio titular,Particular,NO DOMÉSTICO,HOSTALES Y PENSIONES,1
ALICANTE,2.020,3,Procede de baja,Particular,DOMÉSTICO,COM. PROPIETARIOS(LIMPIEZA),1
ALICANTE,2.020,3,Procede de baja,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,1
ALICANTE,2.020,3,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS,29
ALICANTE,2.020,3,Procede de baja,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,1
ALICANTE,2.020,3,Procede de baja,Particular,NO DOMÉSTICO,BARES SIN RESTAURACION Y CAFETERIAS,1
ALICANTE,2.020,3,Procede de baja,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,6
ALICANTE,2.020,4,Alta nueva,Particular,NO DOMÉSTICO,COMERCIO INDUSTRIAL,1
ALICANTE,2.020,4,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,8
ALICANTE,2.020,4,Alta nueva,Particular,NO DOMÉSTICO,OBRAS,2
ALICANTE,2.020,4,Alta nueva,Particular,NO DOMÉSTICO,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",1
ALICANTE,2.020,4,Cambio titular,Particular,DOMÉSTICO,VIVIENDAS,1
ALICANTE,2.020,4,Procede de baja,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,1
ALICANTE,2.020,4,Procede de baja,Particular,NO DOMÉSTICO,OBRAS,1
ALICANTE,2.020,4,Procede de baja,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,2
ALICANTE,2.020,4,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS,5
ALICANTE,2.020,4,Procede de baja,Particular,NO DOMÉSTICO,COMERCIO INDUSTRIAL,1
ALICANTE,2.020,5,Alta nueva,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,1
ALICANTE,2.020,5,Alta nueva,Particular,NO DOMÉSTICO,BARES SIN RESTAURACION Y CAFETERIAS,1
ALICANTE,2.020,5,Alta nueva,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,2
ALICANTE,2.020,5,Alta nueva,Particular,DOMÉSTICO,COM. PROPIETARIOS(LIMPIEZA),3
ALICANTE,2.020,5,Alta nueva,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,2
ALICANTE,2.020,5,Alta nueva,Particular,NO DOMÉSTICO,OBRAS,3
ALICANTE,2.020,5,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,17
ALICANTE,2.020,5,Cambio titular,Particular,DOMÉSTICO,VIVIENDAS,5
ALICANTE,2.020,5,Procede de baja,Particular,NO DOMÉSTICO,COMERCIO INDUSTRIAL,1
ALICANTE,2.020,5,Procede de baja,Particular,NO DOMÉSTICO,ALMACENES Y NAVES DE MERCANCIAS,1
ALICANTE,2.020,5,Procede de baja,Particular,NO DOMÉSTICO,"HOSPITALES, CENTROS DE SALUD Y OTROS",1
ALICANTE,2.020,5,Procede de baja,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,1
ALICANTE,2.020,5,Procede de baja,Particular,NO DOMÉSTICO,MERCADOS,1
ALICANTE,2.020,5,Procede de baja,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,6
ALICANTE,2.020,5,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS,17
ALICANTE,2.020,5,Procede de baja,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,4
ALICANTE,2.020,6,Alta nueva,Particular,NO DOMÉSTICO,"HOSPITALES, CENTROS DE SALUD Y OTROS",1
ALICANTE,2.020,6,Alta nueva,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,2
ALICANTE,2.020,6,Alta nueva,Particular,NO DOMÉSTICO,INSTALACIONES VARIAS,1
ALICANTE,2.020,6,Alta nueva,Particular,NO DOMÉSTICO,TALLERES MECANICOS Y SIMILAR,1
ALICANTE,2.020,6,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,29
ALICANTE,2.020,6,Alta nueva,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,2
ALICANTE,2.020,6,Alta nueva,Particular,NO DOMÉSTICO,OBRAS,1
ALICANTE,2.020,6,Cambio titular,Particular,DOMÉSTICO,VIVIENDAS,8
ALICANTE,2.020,6,Procede de baja,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,1
ALICANTE,2.020,6,Procede de baja,Particular,NO DOMÉSTICO,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",2
ALICANTE,2.020,6,Procede de baja,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,4
ALICANTE,2.020,6,Procede de baja,Particular,NO DOMÉSTICO,OBRAS,1
ALICANTE,2.020,6,Procede de baja,Particular,DOMÉSTICO,COM. PROPIETARIOS(LIMPIEZA),1
ALICANTE,2.020,6,Procede de baja,Particular,NO DOMÉSTICO,CENTROS DE ENSEÑANZA,1
ALICANTE,2.020,6,Procede de baja,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,2
ALICANTE,2.020,6,Procede de baja,Particular,DOMÉSTICO,COM.PROPIETARIOS (RIEGO/PISCINA),1
ALICANTE,2.020,6,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS,33
ALICANTE,2.020,6,Procede de baja,Particular,NO DOMÉSTICO,ENTIDADES BANCARIAS,1
ALICANTE,2.020,7,Alta nueva,Particular,SERV. CONTRAINCENDIOS,BOCA INCENDIO EXTERNA,1
ALICANTE,2.020,7,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,43
ALICANTE,2.020,7,Alta nueva,Particular,NO DOMÉSTICO,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",1
ALICANTE,2.020,7,Alta nueva,Oficial,DOMÉSTICO,VIVIENDAS,1
ALICANTE,2.020,7,Alta nueva,Particular,NO DOMÉSTICO,HOTELES Y RESIDENCIAS,1
ALICANTE,2.020,7,Alta nueva,Particular,NO DOMÉSTICO,BARES SIN RESTAURACION Y CAFETERIAS,1
ALICANTE,2.020,7,Alta nueva,Particular,NO DOMÉSTICO,OBRAS,1
ALICANTE,2.020,7,Alta nueva,Particular,NO DOMÉSTICO,COMERCIO INDUSTRIAL,1
ALICANTE,2.020,7,Alta nueva,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,1
ALICANTE,2.020,7,Alta nueva,Particular,NO DOMÉSTICO,INSTALACIONES VARIAS,1
ALICANTE,2.020,7,Alta nueva,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,1
ALICANTE,2.020,7,Cambio titular,Particular,NO DOMÉSTICO,BARES SIN RESTAURACION Y CAFETERIAS,1
ALICANTE,2.020,7,Cambio titular,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,2
ALICANTE,2.020,7,Cambio titular,Particular,DOMÉSTICO,VIVIENDAS,17
ALICANTE,2.020,7,Cambio titular,Particular,NO DOMÉSTICO,ALMACENES Y NAVES DE MERCANCIAS,1
ALICANTE,2.020,7,Procede de baja,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,12
ALICANTE,2.020,7,Procede de baja,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,6
ALICANTE,2.020,7,Procede de baja,Particular,NO DOMÉSTICO,CENTROS DE ENSEÑANZA,1
ALICANTE,2.020,7,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS UNIFAMILIARES,1
ALICANTE,2.020,7,Procede de baja,Particular,NO DOMÉSTICO,COMERCIO INDUSTRIAL,1
ALICANTE,2.020,7,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS,58
ALICANTE,2.020,7,Procede de baja,Particular,NO DOMÉSTICO,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",4
ALICANTE,2.020,7,Procede de baja,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,3
ALICANTE,2.020,7,Procede de baja,Particular,NO DOMÉSTICO,OBRAS,1
ALICANTE,2.020,7,Procede de baja,Particular,NO DOMÉSTICO,BARES SIN RESTAURACION Y CAFETERIAS,1
ALICANTE,2.020,8,Alta nueva,Particular,NO DOMÉSTICO,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",1
ALICANTE,2.020,8,Alta nueva,Particular,SERV. CONTRAINCENDIOS,BOCA INCENDIO EXTERNA,1
ALICANTE,2.020,8,Alta nueva,Particular,DOMÉSTICO,COM. PROPIETARIOS(LIMPIEZA),5
ALICANTE,2.020,8,Alta nueva,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,2
ALICANTE,2.020,8,Alta nueva,Particular,DOMÉSTICO,COM.PROPIETARIOS (RIEGO/PISCINA),1
ALICANTE,2.020,8,Alta nueva,Particular,NO DOMÉSTICO,OBRAS,4
ALICANTE,2.020,8,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,45
ALICANTE,2.020,8,Cambio titular,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,3
ALICANTE,2.020,8,Cambio titular,Particular,DOMÉSTICO,VIVIENDAS,15
ALICANTE,2.020,8,Procede de baja,Particular,NO DOMÉSTICO,OBRAS,1
ALICANTE,2.020,8,Procede de baja,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,10
ALICANTE,2.020,8,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS,37
ALICANTE,2.020,8,Procede de baja,Particular,NO DOMÉSTICO,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",1
ALICANTE,2.020,8,Procede de baja,Particular,NO DOMÉSTICO,INSTALACIONES VARIAS,2
ALICANTE,2.020,8,Procede de baja,Particular,NO DOMÉSTICO,BARES SIN RESTAURACION Y CAFETERIAS,1
ALICANTE,2.020,8,Procede de baja,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,2
ALICANTE,2.020,8,Procede de baja,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,2
ALICANTE,2.020,9,Alta nueva,Particular,DOMÉSTICO,COM. PROPIETARIOS(LIMPIEZA),2
ALICANTE,2.020,9,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,168
ALICANTE,2.020,9,Alta nueva,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,10
ALICANTE,2.020,9,Alta nueva,Particular,COMUNIDAD PROPIETARIOS,COM.PROPIETARIOS (RIEGO/PISCINA),2
ALICANTE,2.020,9,Alta nueva,Particular,DOMÉSTICO,AMAEM:EMPLEADOS/JUBILADOS,1
ALICANTE,2.020,9,Alta nueva,Particular,NO DOMÉSTICO,OBRAS,3
ALICANTE,2.020,9,Alta nueva,Particular,SERV. CONTRAINCENDIOS,BOCA INCENDIO EXTERNA,2
ALICANTE,2.020,9,Alta nueva,Particular,NO DOMÉSTICO,BARES SIN RESTAURACION Y CAFETERIAS,1
ALICANTE,2.020,9,Cambio titular,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,3
ALICANTE,2.020,9,Cambio titular,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,2
ALICANTE,2.020,9,Cambio titular,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,1
ALICANTE,2.020,9,Cambio titular,Particular,DOMÉSTICO,VIVIENDAS,19
ALICANTE,2.020,9,Procede de baja,Particular,NO DOMÉSTICO,TALLERES MENORES,1
ALICANTE,2.020,9,Procede de baja,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,1
ALICANTE,2.020,9,Procede de baja,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,11
ALICANTE,2.020,9,Procede de baja,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,1
ALICANTE,2.020,9,Procede de baja,Particular,NO DOMÉSTICO,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",3
ALICANTE,2.020,9,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS,43
ALICANTE,2.020,9,Procede de baja,Particular,NO DOMÉSTICO,COMERCIO INDUSTRIAL,1
ALICANTE,2.020,9,Procede de baja,Particular,NO DOMÉSTICO,ALMACENES Y NAVES DE MERCANCIAS,1
ALICANTE,2.020,9,Procede de baja,Particular,NO DOMÉSTICO,TALLERES MECANICOS Y SIMILAR,1
ALICANTE,2.020,10,Alta nueva,Particular,SERV. CONTRAINCENDIOS,BOCA INCENDIO EXTERNA,4
ALICANTE,2.020,10,Alta nueva,Particular,DOMÉSTICO,COM. PROPIETARIOS(LIMPIEZA),6
ALICANTE,2.020,10,Alta nueva,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,2
ALICANTE,2.020,10,Alta nueva,Particular,NO DOMÉSTICO,"HOSPITALES, CENTROS DE SALUD Y OTROS",1
ALICANTE,2.020,10,Alta nueva,Particular,COMERCIAL,INDUSTRIAS,1
ALICANTE,2.020,10,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,41
ALICANTE,2.020,10,Alta nueva,Particular,COMERCIAL,"HOSPITALES, CENTROS DE SALUD Y OTROS",1
ALICANTE,2.020,10,Alta nueva,Particular,COMERCIAL,LOCALES COMERCIALES/COMERCIO,3
ALICANTE,2.020,10,Alta nueva,Particular,OBRAS,OBRAS,5
ALICANTE,2.020,10,Alta nueva,Particular,RIEGO/BALDEO,RIEGO AGUA REUTILIZADA,2
ALICANTE,2.020,10,Alta nueva,Particular,NO DOMÉSTICO,OBRAS,1
ALICANTE,2.020,10,Cambio titular,Particular,NO DOMÉSTICO,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",1
ALICANTE,2.020,10,Cambio titular,Particular,COMERCIAL,LOCALES COMERCIALES/COMERCIO,1
ALICANTE,2.020,10,Cambio titular,Particular,DOMÉSTICO,VIVIENDAS,38
ALICANTE,2.020,10,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS,48
ALICANTE,2.020,10,Procede de baja,Particular,NO DOMÉSTICO,TALLERES MECANICOS Y SIMILAR,1
ALICANTE,2.020,10,Procede de baja,Particular,NO DOMÉSTICO,LOCALES COMERCIALES/COMERCIO,3
ALICANTE,2.020,10,Procede de baja,Particular,NO DOMÉSTICO,BARES SIN RESTAURACION Y CAFETERIAS,1
ALICANTE,2.020,10,Procede de baja,Particular,COMERCIAL,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",1
ALICANTE,2.020,10,Procede de baja,Particular,COMERCIAL,BARES SIN RESTAURACION Y CAFETERIAS,1
ALICANTE,2.020,10,Procede de baja,Particular,COMERCIAL,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,1
ALICANTE,2.020,10,Procede de baja,Particular,NO DOMÉSTICO,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",2
ALICANTE,2.020,10,Procede de baja,Particular,NO DOMÉSTICO,COMERCIO INDUSTRIAL,1
ALICANTE,2.020,10,Procede de baja,Particular,NO DOMÉSTICO,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,1
ALICANTE,2.020,10,Procede de baja,Particular,COMERCIAL,LOCALES COMERCIALES/COMERCIO,4
ALICANTE,2.020,11,Alta nueva,Particular,DOMÉSTICO,AMAEM:EMPLEADOS/JUBILADOS,1
ALICANTE,2.020,11,Alta nueva,Singular,COMERCIAL,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,1
ALICANTE,2.020,11,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,154
ALICANTE,2.020,11,Alta nueva,Particular,COMERCIAL,LOCALES COMERCIALES/COMERCIO,3
ALICANTE,2.020,11,Alta nueva,Particular,DOMÉSTICO,COM. PROPIETARIOS(LIMPIEZA),8
ALICANTE,2.020,11,Alta nueva,Particular,SERV. CONTRAINCENDIOS,BOCA INCENDIO EXTERNA,1
ALICANTE,2.020,11,Alta nueva,Particular,OBRAS,OBRAS,7
ALICANTE,2.020,11,Alta nueva,Particular,RIEGO/BALDEO,RIEGO AGUA REUTILIZADA,2
ALICANTE,2.020,11,Cambio titular,Particular,COMERCIAL,LOCALES COMERCIALES/COMERCIO,7
ALICANTE,2.020,11,Cambio titular,Particular,COMERCIAL,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,2
ALICANTE,2.020,11,Cambio titular,Particular,COMERCIAL,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,2
ALICANTE,2.020,11,Cambio titular,Particular,DOMÉSTICO,VIVIENDAS,45
ALICANTE,2.020,11,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS UNIFAMILIARES,1
ALICANTE,2.020,11,Procede de baja,Particular,COMERCIAL,LOCALES COMERCIALES/COMERCIO,17
ALICANTE,2.020,11,Procede de baja,Particular,COMERCIAL,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,2
ALICANTE,2.020,11,Procede de baja,Particular,DOMÉSTICO,COM. PROPIETARIOS(LIMPIEZA),1
ALICANTE,2.020,11,Procede de baja,Particular,COMERCIAL,MERCADOS,1
ALICANTE,2.020,11,Procede de baja,Particular,COMERCIAL,TALLERES MECANICOS Y SIMILAR,1
ALICANTE,2.020,11,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS,49
ALICANTE,2.020,11,Procede de baja,Particular,COMERCIAL,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",2
ALICANTE,2.020,11,Procede de baja,Particular,SERV. CONTRAINCENDIOS,BOCA INCENDIO EXTERNA,1
ALICANTE,2.020,11,Procede de baja,Particular,COMERCIAL,ALMACENES Y NAVES DE MERCANCIAS,1
ALICANTE,2.020,12,Alta nueva,Particular,DOMÉSTICO,DESCALCIFICADORES,1
ALICANTE,2.020,12,Alta nueva,Particular,COMERCIAL,LOCALES COMERCIALES/COMERCIO,9
ALICANTE,2.020,12,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,170
ALICANTE,2.020,12,Alta nueva,Particular,RIEGO/BALDEO,RIEGO AGUA REUTILIZADA,1
ALICANTE,2.020,12,Alta nueva,Particular,SERV. CONTRAINCENDIOS,BOCA INCENDIO EXTERNA,1
ALICANTE,2.020,12,Alta nueva,Particular,DOMÉSTICO,COM.PROPIETARIOS (RIEGO/PISCINA),1
ALICANTE,2.020,12,Alta nueva,Particular,COMERCIAL,INSTALACIONES VARIAS,1
ALICANTE,2.020,12,Alta nueva,Particular,DOMÉSTICO,COM. PROPIETARIOS(LIMPIEZA),5
ALICANTE,2.020,12,Alta nueva,Particular,OBRAS,OBRAS,3
ALICANTE,2.020,12,Cambio titular,Particular,COMERCIAL,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,1
ALICANTE,2.020,12,Cambio titular,Particular,DOMÉSTICO,VIVIENDAS,35
ALICANTE,2.020,12,Cambio titular,Particular,COMERCIAL,LOCALES COMERCIALES/COMERCIO,1
ALICANTE,2.020,12,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS,54
ALICANTE,2.020,12,Procede de baja,Particular,COMERCIAL,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,4
ALICANTE,2.020,12,Procede de baja,Particular,COMERCIAL,HOSTALES Y PENSIONES,1
ALICANTE,2.020,12,Procede de baja,Particular,COMERCIAL,LOCALES COMERCIALES/COMERCIO,20
ALICANTE,2.020,12,Procede de baja,Particular,COMERCIAL,"VADOS, TRASTEROS E INMUEBLES SIN ACTIVIDAD",2
ALICANTE,2.020,12,Procede de baja,Particular,COMERCIAL,BARES SIN RESTAURACION Y CAFETERIAS,1
ALICANTE,2.020,12,Procede de baja,Particular,NO DOMÉSTICO,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,1
ALICANTE,2.021,1,Alta nueva,Particular,DOMÉSTICO,COM. PROPIETARIOS(LIMPIEZA),2
ALICANTE,2.021,1,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,91
ALICANTE,2.021,1,Alta nueva,Particular,COMERCIAL,LOCALES COMERCIALES/COMERCIO,5
ALICANTE,2.021,1,Alta nueva,Particular,COMERCIAL,HOTELES Y RESIDENCIAS,1
ALICANTE,2.021,1,Alta nueva,Particular,COMERCIAL,BARES SIN RESTAURACION Y CAFETERIAS,1
ALICANTE,2.021,1,Alta nueva,Particular,OBRAS,OBRAS,7
ALICANTE,2.021,1,Cambio titular,Particular,COMERCIAL,LOCALES COMERCIALES/COMERCIO,3
ALICANTE,2.021,1,Cambio titular,Particular,COMERCIAL,BARES SIN RESTAURACION Y CAFETERIAS,1
ALICANTE,2.021,1,Cambio titular,Particular,DOMÉSTICO,VIVIENDAS,29
ALICANTE,2.021,1,Procede de baja,Particular,COMERCIAL,LOCALES COMERCIALES/COMERCIO,14
ALICANTE,2.021,1,Procede de baja,Particular,COMERCIAL,RESTAURANTES/CERVECERIAS Y BARES CON RESTAURACION,1
ALICANTE,2.021,1,Procede de baja,Oficial,COMERCIAL,ORGANISMOS OFICIALES,1
ALICANTE,2.021,1,Procede de baja,Particular,DOMÉSTICO,VIVIENDAS,51
ALICANTE,2.021,1,Procede de baja,Particular,COMERCIAL,OFICINAS PROFESIONALES Y OTRAS DEPENDENCIAS,2
ALICANTE,2.021,2,Alta nueva,Particular,DOMÉSTICO,DESCALCIFICADORES,3
ALICANTE,2.021,2,Alta nueva,Particular,DOMÉSTICO,VIVIENDAS,54
ALICANTE,2.021,2,Alta nueva,Particular,SERV. CONTRAINCENDIOS,BOCA INCENDIO EXTERNA,1
ALICANTE,2.021,2,Alta nueva,Particular,COMERCIAL,LOCALES COMERCIALES/COMERCIO,6
